Utility to process github logs
Going to process projects/top_C++/Polycode/all_log_nomerge_function.txt 
---------- Polycode ------------

COMMIT: 5f77291ffa123a390bae95ef78519e1060a274c5
COMMIT: f6d40cc8e1ec320e9e83e77bb55935f0396be2e0
COMMIT: b60389ae1326593d0c2cf284834074e35339dd08
COMMIT: 9e53b5f48326f0ac6694831577cc685abe89dc4e
COMMIT: f798638bc58e916f1dece0292fbf427516ccaa33
COMMIT: 28471b9e2b51f3536d929254254a65e268244f0e
COMMIT: c1e78e7bfd2d7a88f3b59a894ca73e16cd1a00df
COMMIT: 216caf518f463ea5140aea0c8b7ffdd1fc9a61b7
COMMIT: 98174f587f8033b93a6b2832dbf1b3074e7ca19d
COMMIT: 798c6a164875dbf2025773bd4fbba32dd6e6d9fd
COMMIT: 7fbb913bb852ba7a823475eeb88c44ba844e4aa3
COMMIT: 9f4ad131fa4534526fbb12ef25a5c6b24ae2205e
COMMIT: adaf49ef3faa39f7c0033ab357cb718a382e8c21
COMMIT: 36c660202210541307f91fec7eb485020252d588
COMMIT: 386b346ffd5df6da5eda313b0fe9ab8b9b201313
COMMIT: 94928b001141560fda539de031697c35af446c4b
COMMIT: 49edca1962457d82297c084cf020b3cff973a12f
COMMIT: e828cb38a6add02f5280233fa092a7fcba965566
COMMIT: 6769ee4a408061b5616cc082d07103f5ae0ebb57
COMMIT: 7cd3a8c427142adfefab222eccfece838fb4e08b
COMMIT: 247a042248a3896704e3466b88758392226ac48b
COMMIT: a0defca88561efd09c028cbd863a47a0cce3dd78
COMMIT: 462b9bca13fabfbbd4f9b0be448655dc219777e4
COMMIT: 1659aa47cee8f3158e317335fa94cdae8be9ef49
COMMIT: 14ff32c986ec99cc98a22c6e0f94cf5b68905784
COMMIT: 5e8fa4f035ea5b986ba50876c749ac6c4c80d35b
COMMIT: b4b8130dadc4a4b6618379bbeb88608a93882f81
COMMIT: b6b2dc7d225e51dfce9d315f2f934cd78c63040b
COMMIT: 27a13b8ce42ee254841a3cb6bc93b6fb51058ed0
COMMIT: 9863e050cddf6528253e4ca9aca997229331c546
COMMIT: d98d07f60ba182d2ea72beebd8d0270475031808
COMMIT: c970884edda4d192ffb312083b0f851c3e175775
COMMIT: c4b0b0d0cc1e8521f7501adab877496f6aa58e48
COMMIT: 3837e0f9ea3b4cb523a4f1d552e91e254cedc82c
COMMIT: 0def37325a31939ab8dfbf6c602cf439b9146218
COMMIT: 956f3f216ce12bc99357d3d38d2e772f139c03f4
COMMIT: 0f362f25d762fa7faf4b08c147b3d01fdd4a241f
COMMIT: 2d0c9bd161f05d618ded23a01abe7baa3d2d95ad
COMMIT: 065d104a686223ccdd0ae9cde1192e161410e132
COMMIT: a2c0e73a5e99d9f9f199003512491c4cce6a39e9
COMMIT: f67df21f5637797bc683c8e5fb932a19a0561752
COMMIT: b251f8e5a68c5b76665b84686effd520f9920334
COMMIT: 815a199b3e0f77c50391155524afa8ab2c068f9f
COMMIT: 680509fa3b933dbcefebe6339c254405729ed909
COMMIT: 6ececfb8379a38fb0833462c9501550fce058c5c
COMMIT: 94bfec4af7f3e6fa123937d6899b2173f0334f48
COMMIT: b513dfbee270222a79c6db950d5f6e6abaa18b24
COMMIT: 5b43e0b9185e860ecd47f5d45b030d5ef7b1a255
COMMIT: d8453c220fb7db9bdc168b1651d9a9a773ec5a81
COMMIT: 3825606a2b8e3fedd8d70e637defc12c2b0283a5
COMMIT: ed43849593b2aa6b572a3a0c1c3133e38571ee64
COMMIT: 0f74d7b45b25da9a8363962cdb7fe01d3bd319fc
COMMIT: bc79fa9477535746285a28b248f71af5884d206b
COMMIT: d90f07daac3937621789ef14c7c4673ad3a99ed4
COMMIT: 6a4034bc7584d6d980723c713d49d27ac61516b2
COMMIT: 7418b7db1b986ce78defb83af6c25743a2c252bb
COMMIT: 00432a4a914af54e519fb6c55d5f24e5a917dad4
COMMIT: 98be7cb3bee85e5bdbf449b31244285a383902ad
COMMIT: 74617f3bed6003595423f86e7dca07ca36072571
COMMIT: cf9fdece10ef81c3accd55b194d600169b3aea45
COMMIT: e9df5a755a98aa5f61abd6f32a54e8b26169de8b
COMMIT: b0c08c7d8d7d2d667e8b709aae1f9c6a5462a953
COMMIT: 3d778ce4fd3fe56ae9afbc90cdc6fafa90ba4113
COMMIT: 1623475a7e95a9962f7d8ad5d36cb4345eac5b69
COMMIT: 53466270d85cf8692140611ffb4b3e4cb3ebff4d
COMMIT: 871d761407ad289d1a1f18a74f249619a869c0fb
COMMIT: 17b8fc8a1e808fd592eb7aeaf15147b1431e1517
COMMIT: 8486ff0a5a0bf610705d856efe16b35361d5f0f3
COMMIT: 025a8c46e0b1e7803b98c08f6ed1f6bed0ec413c
COMMIT: 49eb36b0ad394ec203ee4ea9c59d965e349dd237
COMMIT: 7317c1f33291039cabd87d338dad6b0f69ddf253
COMMIT: 35aedc4b9290547c59b2fd67d80ed7096e966fc4
COMMIT: 063162485c16ec1eaa94adc98332a36722b93fad
COMMIT: f03942d739f1990f2051f380a4e84b5fa0caab18
COMMIT: bf58bbb300e5057b086349daf99b36b0e8869a83
COMMIT: 8c56813e6efea401c0908197bb0b216b7fa5a045
COMMIT: cee22aae46e32bc8565459444926eeb2d93845b3
COMMIT: a41c82fd2ccfe309fb3289e66ccb05be06196e7c
COMMIT: 8acb29da2505bdc4531407dd714dc76e8290d1dc
COMMIT: ad815096a035ff91c8df7ffcd8f31f2542a246dd
COMMIT: 1e42cdecb7d851638e1278bf5d7cab6f5d21852f
COMMIT: fb1c0a661557fbae3a3ba03247102e3125fe0e97
COMMIT: 336eb51af0cd8e70a1f0657977094bf587c97147
COMMIT: d40a6f7c1e8f0b327648bfe0bad5509e31f112ce
COMMIT: 1cf837516c7e48918dd35004cd969f90e4c72ca9
COMMIT: 11b46b0dfa56c2ce74b65c308a27dd32a1e383e8
COMMIT: 16ab0889927bf7f04dd7dab3cf8c5af0cc711df3
COMMIT: 482442969b0430558620948b76dc8a0a4b97172e
COMMIT: 2ac17abbcc96fb0c39d385c95592c1de08c99c74
COMMIT: 9ac288bd732da64edfd3d39180e87f22d29565dd
COMMIT: 92920fd47db4952073f679dfbdf0700041552fa8
COMMIT: 6ebb5576d082d7b691e26676dddf2c18d620a54e
COMMIT: 213fd02556fafc39c05a37b18f722089cd2a9246
COMMIT: edc12c482c5c658b3de8d2e8c3484754c929192f
COMMIT: 4c3720bfed44abcc4cd1ef36485918e985bb7f12
COMMIT: 6a1b8a5969f21e100412cfa0842df27f2395907d
COMMIT: 5f660b6530d71de6f6d9f6b8fd3b6671944b811c
COMMIT: 4ce1eee8edc3fc1032e0bf12559c40639476a870
COMMIT: 8199141b2255f6a71fe26415a1e68e49d25e860b
COMMIT: d9d7ff88d605752e1900830f44d87f50c3d0dcc3
COMMIT: 98042c15980f54ef9ae564daf77224cb7b1565a3
COMMIT: ecb0a55466ac2d8d8720c098122fc8363d56c7b9
COMMIT: d4cc4f457fa1f8d2305918c14c50d7e5e23735f0
COMMIT: 7d86739ff51a66f3cbd5786471b1236a82eb91ab
COMMIT: 8be60d9cb7e045b3bd33c48c4d62dae2559a35f6
COMMIT: a9b5d1ece3615d583a6bfd70b0ea55b288b1e3e9
COMMIT: ab747dddae5b4db56d3eef12530787207984f257
COMMIT: 77aa0c6eec6fa940e3d0840813c35a83c478e46e
COMMIT: 38ae3d8a37c35e3600c68a824439251e8ab4d99c
COMMIT: 445d4069e9b3f7b31cf9a3387dd94d5a10102e0d
COMMIT: e2f345138481c9e2537bf7116ebe1293b3cd78bc
COMMIT: 9f4cc52da6f34216b18efa6e5f21e08ad151b748
COMMIT: d56bffaf46b550b855d3b0a121e623d2e277f60f
COMMIT: 1983a51de415a135d71e705a873fb21494d32db3
COMMIT: 1ed5c4c95b58c403bf6257ec045fb6adc3531d12
COMMIT: 16de993f35d81466ba21451ae7edf5c6d75144c4
COMMIT: f854f9710a8fe50579319c0f206d81c03eacdfaa
COMMIT: fd96742c9b376990b72a67dd7d00ec416ec03b7d
COMMIT: 0b1b425be144dd9fb711aeb2fc8c02de4fdc63e2
COMMIT: 960f62767bc5a5e073fe58307c67958b2756791e
COMMIT: 49b533b922f0d904c3c0f27bbb510d8946dfb3ca
COMMIT: da94a4d34cb88b89df0c163f18bea574cd0f2b5e
COMMIT: 75bb5070c7d56679be0d22310bbfa90c128f184c
COMMIT: 4c7eb2b4bfbf16e3d1e8e9fdd29df44534168824
COMMIT: 16e2fb0d69571d24d0a03f5e0bc6ceaf9779f8cd
COMMIT: a8d3b1351abef27c757f4b3156f65c4db6d2e014
COMMIT: 5a11a4b6e62de0c0875ee9a85893d460d49bec56
COMMIT: b6663d29ce34cff70de2a1607a2b4370b2de02cc
COMMIT: 966420be461f1c4e57b4187ab718061d08a0de24
COMMIT: 40c5f004b8057339eecc2df371ccc988f0d038e4
COMMIT: fc6ec0958510f49951338dd09c4b77e44ea5e85f
COMMIT: d22fd4d66848fcde703954a51bc7c4841c7f7c26
COMMIT: df8202c627e6605ba0a2ea7a4a7feee5b85b414f
COMMIT: cd1adb398f8e7c2798851c110525d4447b89909a
COMMIT: c498f5169e48d41d764f3a439447eb1d6d9947f9
COMMIT: adfe0ee6bd500dbcc0733e94b22c0181af18828e
COMMIT: ac855c47e5f8186ad0e645e5d98e9761b348a252
COMMIT: ff1e97802838c4d4e983e8f217cb7e3f404cb039
COMMIT: 207ed4ddbf091428308f8626552dbac4f457d328
COMMIT: da80d4ed3a10be5d5ee925d72a80e3396f834538
COMMIT: 1e97cc2e4b48c8ea667506b9ad56238747e09cad
COMMIT: 69cfda0122f45a3cbb4fc375856db8d0acec734e
COMMIT: 6bea25ddac4a03c57d15b95c4f76eadc6caed3c9
COMMIT: d35ce6cbcd910c0d7c0a1d61e4670ca43d7a8027
COMMIT: c33e3fe4b088b66a5b0e9762f77f74cb819db234
COMMIT: b114b3242edb7fb053d58620bcd93f789bc62048
COMMIT: dc9b0be826a46affb6c1bc1177300e3a59f25239
COMMIT: 7fc36fc33b87ffc12572a17e66973c27c2ce63d6
COMMIT: 3a166911d96dd0e4eb6c3f18d976fb5588609704
COMMIT: eeedfd65141fe05ebf6c0a6d828f79043607c496
COMMIT: 0d07d2c038699eb22157050250e5ebc754a5665a
COMMIT: 8b710c486056cacd60c4a36519e68852be138aae
COMMIT: d2bc558c768fb206bd5a030555753e9d138f7894
COMMIT: eff5cd4a4be3fa44ee2379219dc50d5d5cc08fe7
COMMIT: 113771acef1ee5fde23b5a37717b1762f14ecf64
COMMIT: 5f3346ea5c9588c33a9f8e06f80726c377a36f43
COMMIT: 94f7f3f7d97e3d96ba7b181b6281e49078758bfe
COMMIT: bfd7abe28f3e457943a7cfe029e7022615e08fc0
COMMIT: 7fcf69c036e5ccd3d6f602bdc31541e453b06c34
COMMIT: 71af71e68476d475d58414a27a9d93c7924c111b
COMMIT: 9be0dd097e5230a817e2148fc8bf9bded17a1b32
COMMIT: 34e47016f3cb7d13669ceb372b117013b21ebb9f
COMMIT: 41ea915a26b749cf07f4f098fb25e9a6f81e16be
COMMIT: 385dd6235d3e20f46207fa2430b8c6128591f9cf
COMMIT: 0897b049d774bfda75813c84190244ef20d80a3d
COMMIT: e65808712e9bd268e02be05ba0db79e62f59fb74
COMMIT: e69892e06e755ec16efa2220cbf04fbfb265b1d8
COMMIT: 5949271514790f2df413aa338d05475fa9634089
COMMIT: b0cb636bc08df2726461c1f3f093b2c96989e5c7
COMMIT: 049a820d3db0fc1199ebb789595040fc3255fbae
COMMIT: 6693ceefe4bafd87c5056ac843fba1ad073c3751
COMMIT: 7bc0a1a00bfb46fb6bc52d6c058d06e27ed1474d
COMMIT: 7065727c352d507c8acbd3299168cf18305a563c
COMMIT: 22d66b94209fbbe96ba2adf79ae60ce0564e43f4
COMMIT: 7a47ba4e4725c812ad7d5ce4b6cbbc5528e4dabe
COMMIT: cfcd9d566891af00a989744c8451a893a277ac9c
COMMIT: 6b72f057bf2ad17ba690215740044f67490cc2a3
COMMIT: 9435b85adfe0d4a9634363657105685a5525a62b
COMMIT: ce9ad51859c0dede5b6ec84d889ae480365886bc
COMMIT: b186b089624794c0505845c2bfc283767f74f873
COMMIT: 39c4fba316765031dddaa26540eab8e8d651e58f
COMMIT: 8ed65a36c5c3cda7893738c4dda8cb03ac0fd49d
COMMIT: c5b4e9eed99dfa95eb84be3f0ecce94eb844e19c
COMMIT: f4b9dbfe73c7ba7617a6573ea46263a189baa950
COMMIT: 703a2860138eddca103ecca8771bfc2f9e39ca27
COMMIT: 09c2adc56bf5c7703b4111c539e30e05fb804060
COMMIT: 2c4f64765de2455e197b61cc32b59b72a1ec46d8
COMMIT: 33e1e9516f1cab93498cad1deb3f1a3973f88a8c
COMMIT: 9ccb1291c841c61d5383648c6323069cafaf80ab
COMMIT: d69a199f2cd3aa3a82eb609b2c1bbe6ebefcc478
COMMIT: 47148ce4e0ffe1bb3f4da76430ad12e6153e6a2e
COMMIT: f3a8991475b9a442458df2bdc1b54fd6c03571ba
COMMIT: e014f65a05c6303ee087ac044fdfad9e1cfdeb2b
COMMIT: cdf10e8510dbf7206ec5ad91a5ccf3683d046298
COMMIT: 439fa2dbd8cc9c92190f33583c4aefecb5862fe4
COMMIT: 23cb86ad3a252e1346137382f4531abaffa1351b
COMMIT: 41908812e28d73f1586a42a2b08b4ca070710516
COMMIT: 2cca68065bf4cf45e4ccfafddece028e0754e295
COMMIT: 38d063aefadbce055f8445a459db9248c0d630c1
COMMIT: d92ecdb188efdcad3ae5d715b8035e53af875e0c
COMMIT: 6ce695a414b45747f39f43a5d15c8c67b8eedbd5
COMMIT: d33269a3883186767378b9d50d8c027cfc2496af
COMMIT: 8654b57335d5c1104bea97c4d66e307c4bf34c48
COMMIT: 0812c68c92b88fccd6f86402e6fafddba4131643
COMMIT: 7834ea4719dcf61b79e76fe5307aae2b07f8f6d2
COMMIT: 52a22c0c44415fc9db3311d3adac6e774d73f330
COMMIT: ba879693a668d8044f4c261607bf3edad84cb54d
COMMIT: 148efdb33a6137e223a1845f95f2f8168af68184
COMMIT: 07b4f6c9c1e0f85f0fd87146ecc626a896b3b6c4
COMMIT: 110ca74a1d4160084cc6236a93e27f324f3cbd6b
COMMIT: 15c00bb2f0ef9ad9015c4763ba77d1d1269f56db
COMMIT: 42004fd032b01525578655085a6846554dd28eb3
COMMIT: ee187d0d361156b9a0a0f17356788829e1edfd7b
COMMIT: e3d4ca2c6639a655de759ec9baa9795c0580915a
COMMIT: b514a35036ef78fc82542488dc1ac11fc6ef9370
