Utility to process github logs
Going to process projects/top_C++/Torque3D/all_log_nomerge_function.txt 
---------- Torque3D ------------

COMMIT: b5f8e9aa707d9b61604868532b1059ef80bbd007
COMMIT: 6218d792f3e658563da6e04844cee9d59546c3ab
COMMIT: e18312b950b25ecb80ae4010fd4cf97fd781916d
COMMIT: c5dd7230ad0b9188b5939edcc82b303112c7a7de
COMMIT: d9436e65c597e261c5504db2943fbcc022777f76
COMMIT: 49d2ab8bc35c24bbd797721c06155bb7ef8929db
COMMIT: 42bd3680451ed3dec652cec0dfc5b139d5e55544
COMMIT: a879ad4dcf87e032f219a3150468c9e291f8073f
COMMIT: ae4ac53592b2949eeeda73ebf36fdad55a6fae61
COMMIT: f3199b04e49b74206c892cec4d5d178830fbd6eb
COMMIT: 12d435c3419bc0d76acfd70d8c2094d11c67cdce
COMMIT: 2f69ffd2d43bfc7b80201348ca7557f48da2d448
COMMIT: f8d41a2b96c2188e2146219d683c6fae0b7f88e4
COMMIT: 17f08e9f86a85f25f9a898fcabfa400d71b0160e
COMMIT: 6fa44a4e925993edebe2afbd37974f1c5a007021
COMMIT: e6b7cf108bfc35c9771efd112fde24d8a05fe35f
COMMIT: ae3128b28b0a5f1ee8e7bbf027109c2a41f8a147
COMMIT: 1067da284f60b9c9f28fb6211ef7cfbced349183
COMMIT: bc32da74ca5463ede944e2212f21a124329061f8
COMMIT: 84e8cbb4ee0197d4cede67faafea97d4d742682f
COMMIT: c84051fc6023c9758ee147a997d93e2ca57c0559
COMMIT: 57eed9c8e4f2d8fefb095ad62a8fe97f1d11fe62
COMMIT: bc31d79da119c0c6ccb869f2bc25792368796eef
COMMIT: 0c10ba68334cdd87378e879faf6551c46db49dc7
COMMIT: 54e1cceda96f7002eb14b3a648c5a662cf91d942
COMMIT: 6d5571e2330a2211d1829a9256debe2ef6d33116
COMMIT: 0325aaf5bba83a71d150e17df11191b408b65f09
COMMIT: ea29f5203dad7cce71c640951239e7ff491c7f73
COMMIT: f67a0353d0c7eedf6c01990c87cf2a9ddfab0f09
COMMIT: 0bf021280e75d5d213da4363874958ff2226b882
COMMIT: ded87c016517681f894ded1f3c045f53214db35e
COMMIT: bddc27c69334d25e09922afed7e52c52d5103c24
COMMIT: 3205fea9364d56c7dd0fc16f388e945ecf3082b8
COMMIT: 71a57db50757ea20017f6ec6f09cc2f21d4b7f46
COMMIT: 8862bc2f3ab3d8a2e869a1ca40b8015d54b5cba7
COMMIT: be0b9728e568603035b37e12b38248d10f05ae64
COMMIT: b721288d6be57ec6b497cdc201329b47fe530401
COMMIT: 364dd3634daea271652f5f92e4fd4389a5bae8f8
COMMIT: 55ac3dca70e50369b6f6fd686b8be47bf4f93a4a
COMMIT: 591253d5b58a915aa48ec84e7542311d0975e7e7
COMMIT: 0ffd7f56208bd9e08217d0f38b81314f9272f514
COMMIT: 942c7a48f4cba969fac026d8f2cf6708304e48aa
COMMIT: 50e2221a40cb90fc7029c5e42fa92f35124790da
COMMIT: da706ccb61b57f4e909ef09b894ca052e32ea9f0
COMMIT: 1f8dc19fbee566f853720b64b95e52b26b59d044
COMMIT: d2d1f6086ed2faa26dd0b4bbed1362aa3c9a4ff7
COMMIT: 1631f76a47b691b89defa01f5a831ba3f5290f98
COMMIT: 2eca491961771c45507927108f270a853f028ce2
COMMIT: b580b4a54219a0fa9978454d2e8c1612e79f0061
COMMIT: ec06dd78f9aa7f9a674ed9146e0721656397f2c5
COMMIT: 0a345674ed9dd370a6bf87627f9be8e1e2683991
COMMIT: dd46e800ebb43a4f1b915b5802f05d9ee3371bd8
COMMIT: 43e08263085d8d166c5322031c9d07e931d96995
COMMIT: 02de4658e52c8c14de2e469f716ee7d0fb28b58c
COMMIT: 0007a518bc585406d73856e0ee9ee96d77cfc0e9
COMMIT: 27fa97f44d2a705627004b969c6106cbe65c238c
COMMIT: a3f8227541bd70ca9bd3dfabf29d9468d5ab6110
COMMIT: 97ab694af86b60e686263a5f05698f37565b0cfe
COMMIT: d10afa2ba2be185edc2d7cc5e925786e5dd45f7f
COMMIT: fb79d1fec79a30c3e58ceb3cbef78140ab630a21
COMMIT: 16ed4d2811227964ed9288b73fc8ec81e92463c7
COMMIT: 3f97c2cedd5c21649ce1af44f438c8cbcc350858
COMMIT: 5bbbe7bbe26d871767d204ec949965acb65e24b4
COMMIT: 01a219b69411147b1a194140dcddcc0b985313e7
COMMIT: 4a97054f02a1b2851d7e65dd12447c1579b7e1ab
COMMIT: 1449c4df57607996b7637b90cb280669405087d6
COMMIT: 94a46d7123cb9f3e384692b63f61c562fbfd8029
COMMIT: f44a3f27d6a58a425838f8c8598d139f1510dc28
COMMIT: c78f38fe0b9b5f34be7481e1e283cc2d32ca0d8d
COMMIT: 57698599e07a86bbbde9364421f7e6c645abb5ae
COMMIT: 5d49771136c99b1216aec0bbcd0bc8034d97cbf5
COMMIT: 6d1ef41c69485a6cd33a01da91f480087bab8a10
COMMIT: 4f87422392df2b853ebccc4d691075944fea7565
COMMIT: 1ce846d235c134d2b444727a176b5b989cc128a7
COMMIT: 72a0aed1547139be7cbbe2823fe8a7ef500159f4
COMMIT: 881f9abeb612f8bb7561ba4407db78310266027d
COMMIT: dd9b788ab47a01be36f16e1a5a72ed6617117cee
COMMIT: a6510190bb46c4fbe0d30161ff50f3f597d8e270
COMMIT: 879dbf0b03aad77391b5dfa19d33ffc8cb525769
COMMIT: fbc6bcea2000582c24afc9eaac1499b1af145a97
COMMIT: 1dacf7b04eb7c5c3eef2e2145179da8430d22e9e
COMMIT: 0d1f1aeeb9c8fb3ab3f9b215217fcbc1c850be39
COMMIT: cb047bd7f0d050fab073431cdc1527708d844436
COMMIT: 0605f056e3d94bfede1cc096ece5c02cc4dc0167
COMMIT: bc12f13e9a37c0d6624dcaf5ed95fcd68da935dc
COMMIT: 47950382f76cc8d7f0f4aafcc3454b7dafa53484
COMMIT: ae94fc4e46a1f078ff158575d06cb489d3fda6bd
COMMIT: fcf52fb5e0d6e00ab5998af68081c4a16d1a53e6
COMMIT: d669eb6ee7434874f7e01330671b3fdf69c57f9c
COMMIT: 6e45643b28e1270f9060f4c1740aa6aa0b0b0341
COMMIT: 4694b0a8edf0312e78a4f12e1483e432b5140cc8
COMMIT: 2cc4801974f9135c3e19b41e3d22a67c4228a4f2
COMMIT: 7613fa037523ea83a0add6135dee4cf7a30b6fde
COMMIT: e3bbc4292536276de398ef39d3f6a878f3523746
COMMIT: a88339c21968ba48d553f97195d4457c26a7a60c
COMMIT: 52d8aa3a97f772f99abd4714abb8671a25d0ab83
COMMIT: 540e68aadb2471be38e5d7994a2b33552e15364f
COMMIT: c1203c1cea66936d350ace041907a660fd8ddc15
COMMIT: 19afd0c22b1843b32cf99abb9583f333c638ec91
COMMIT: 4e9034854d057f745f7449502cbad03a3fe8b76e
COMMIT: a7002c0eccc4fdf987461f1006dad9faabd0574d
COMMIT: 4ccf89ba8e2b81ed81de83b8c606032af0d23e5d
COMMIT: 5d392e373ea0f80334d069f0f58a92c813403b24
COMMIT: c9116dd4a44bac3e69fb757e54d9e13721173e7b
COMMIT: f05b1b5cbdb7b0b4f381b0c40adce79104c17209
COMMIT: 9d84372dc8902ae9d971f0cc9b5ce7a6616e60cc
COMMIT: 32b2564cd578c5690e2322553cdf52e164815a52
COMMIT: ee4f0df69a922bb4a98cf4cfe03c2b22345fc781
COMMIT: 3336bffad29b59cc748413580951fc97781023ee
COMMIT: aa35157eef30b07ef11378b8147e86b3c09b0898
COMMIT: 21d58bb191fcce4038ae3b8f25aae1721b9c10ff
COMMIT: 674133ac863e1f406085c1592edf7d0dba501468
COMMIT: a3f08df9e3be790a7807132fbb291e8584e883db
COMMIT: f615802ba2cb6bee1ae5d3983006a041cb3272a5
COMMIT: b2b950c84a4b48d3fa9be49a2faa40c5aeb82db0
COMMIT: 3574ef838b7926ceea41372efbd096efa1194d8e
COMMIT: f1da30f2853114807754eed51d0d3fa9aa58119e
COMMIT: 37159bf9adc19ad930f8f062b9e35bd1fa299a70
COMMIT: dd9e416b00e74d66f40795e3d74f9e15c4a45d7f
COMMIT: 170a4ea08fab58f11b62701fe89b08735e4c0629
COMMIT: 412247c40191b38c8d9e424eb4858affe86b8e01
COMMIT: 1204b81a78ec6658e38dc58456a714264fa38da3
COMMIT: 40b871e6528c212279a926df249b302bd8d623df
COMMIT: 05b8fe4423504dfe9230a834f49f2d14745851af
COMMIT: f1d382fcfffd82d15ff1185664ddb16831e96953
COMMIT: 6789270789c47fc0e40781e8f754aec63f827f9f
COMMIT: c2c9cf4a2dfa9d024e246845994c15850b43aee6
COMMIT: 2f8f89d4860e7d6592af4bc400a09603f742ae99
COMMIT: 9150c7f5ab23c90360f0a4fba4b561dbcbd425c9
COMMIT: 6ee81d94207dfa43da5c95779d963aacb23cf0e9
COMMIT: cd42424d61f4f305650773c67421cd5363c6decb
COMMIT: f9cd778b3b9b9ad8d585b5e70ff5e373a0b7b7f2
COMMIT: 859514a7927af9d4e86b9945561cd9ecbd5d9678
COMMIT: 7453610563124054cd91dec71289515714fbbcd3
COMMIT: 3ab048c5b0a5be8bc61f12771074ac8f5dcf1c29
COMMIT: dbd8c6b37b375eba00692a4dcb0a70f6b478a3ba
COMMIT: 8c979a6d7bdcafa28fabd6ffe0d3e7f0c44eef1d
COMMIT: c76b44bb91fb49fd7ebc09d34ccdc293d9776324
COMMIT: dbf9275037402bbd619d4c9e007445ee2d19fff7
COMMIT: b2a4f3fd44e92d6172696e0c76be30659dada24f
COMMIT: a4adf28ef54c52235420d14bd2990b2c9a874cb0
COMMIT: a3fab3d4c409fa522ddaf461e83a4a4f3435f335
COMMIT: 793d7bf8566d5a773bfb6109ec4e80069dcfd5c9
COMMIT: c6cdfafe4efc9a110d8157ef5324d2fe38c186f7
COMMIT: 04ff04a95f725d3603db10d9637fd49f2f1fd68f
COMMIT: 03f71a78c08ade211f3062d435123910b786d5cd
COMMIT: 5c72035e0189efc58d87e211b3f2f70936c1e147
COMMIT: 30815cb641359c542fde8f4e32194af4495f3b93
COMMIT: 4bf5aade6e1fe00bfa5ebdaca30134fdd5f47b5b
COMMIT: 1751e60734ffe8499ddb3e7374df5861d05e7340
COMMIT: 97e7e0760787ee6ad1e754fd809671b3e3d546e6
COMMIT: ca04726ad62d6b0d8b83f3d98749bf60a79ac6a3
COMMIT: 0cf36a890682f8eb44037a3c8f0606c95e50c401
COMMIT: 15c8922028494f9d433b95a6cd3f1215df5fba89
COMMIT: 8d4679b2b762ba7bd48f54272f861675c5d57a60
COMMIT: cadc390895c544770e7ede52dc11d3bea02cf490
COMMIT: de7101dec2956785b3de98423058d28f12336f7d
COMMIT: 98e79f3aec90728ab11f134907f2ffee3e714654
COMMIT: 50238fb2ace2f124dedc443f885dee7aa835aae3
COMMIT: dd297d4dc02eb7f0ee1bd76544c4a3d7d089f0d7
COMMIT: 2db9aa52ef61903402fa171151b382ced22c63f1
COMMIT: fd186204a273340b509ffae2c12473b8c1e6fb08
COMMIT: fe9c30b5bb2cb6f1be09579cfca7651e00dd6d7d
COMMIT: 8f4c0ed95db18a8e3b9272801e48db311582bb1b
