Utility to process github logs
Going to process projects/top_C++/TrinityCore/all_log_nomerge_function.txt 
---------- TrinityCore ------------

COMMIT: 4e29cf74b30dd675bc26bcd2d2897f535a844193
COMMIT: b43a46e449ac019670f1d97d4d62433e90371f5a
COMMIT: c0eba6a127a950e05af7ad116c95288a4fa66a17
COMMIT: 27c561cb9e03c9fea20232fa4a00ee97b5cd081e
COMMIT: fd47c3e06c7988de48166c5626e07dcca72bd930
COMMIT: 87db1ae44ff931d2a491b19443842b25a75d532e
COMMIT: 0531f52008cfc4ecb28c0b3cd67504e06452ab75
COMMIT: dce92611f3ff33e7db0a7234d611f5bffb0cc45f
COMMIT: 26aaf2384ca48db1c199a263ae50d3ab1da59891
COMMIT: 6fdcefee31a2511cc5a21b42c53bd680e0fdc743
COMMIT: b153e1a47f7327f3002e26da265c3b656a969e76
COMMIT: 35d508cd6d4cc1c2f587a5146f444fdb71dccbe9
COMMIT: 297e63da362adaaec13617c253194726c47f60e2
COMMIT: 57cf08f86ec389a32c73c174c231a8b1ceed1371
COMMIT: fbccc58f4a7272abe7a4aff33f3eef8ede813fd5
COMMIT: 9a2d86f6ae1c5725bd3ffef6ccdf1116b614d106
COMMIT: 5544ce146e97ab25b11c26fee048dc181804c61d
COMMIT: 99a4ea33627678bddf061f0e38428667dee49674
COMMIT: 25c68cc2d3e6e896e70dcd0e65b93eff7bc6e3c8
COMMIT: fe1289ed1acaf856e1751966994d492c562d6ec2
COMMIT: 7977a06fe593b1ce1d93aa141cb1807956f5fe9b
COMMIT: 5e561d6cc055c5c95438632175cd7a76e750d764
COMMIT: 7532864264dd3b3b820c4b3c39ee900d5ff7cb0e
COMMIT: 8c10ffa62d1d9f6630eca22e2f37ce10deb2cf39
COMMIT: 3249986ba8d49108cc3b58a2db092ab940480ebf
COMMIT: 68398a559e2264b85d8765949989f44e39ce364d
COMMIT: ecde28d1c114a151c9828fff8898def5e74de4e1
COMMIT: fe5d38ae7d54fd3e9a45674718a86d69f95fcafd
COMMIT: a70fb4c3064c225ea88bd63a0d10b280fdfb47b1
COMMIT: 14bbe3e2e97fef01ada597557e804c1868a8c77c
COMMIT: 1088c27562bbf60897129713b610e122fd018545
COMMIT: 8e88a42420da142dad7b4cb9c0e7191a261c0952
COMMIT: f03617cd0f35cf300806c584237bfd5c12f2dc6d
COMMIT: 6dba04c0ccbb24b95010512045888c4bc5587cf4
COMMIT: 9506fd77fcb560c2f6aeb6830fb7e32e6c813027
COMMIT: d45d741426a96c63b4eda0e60cd5a016c665cd54
COMMIT: dfdc19f3bc57757965d1d3b760a27622e411eb05
COMMIT: f14399d7887b221eb61378863c9c314adbcdebc1
COMMIT: f6962f9c682fa01e6986dd24c51248ac03e13377
