Utility to process github logs
Going to process projects/top_C/beanstalkd/all_log_nomerge_function.txt 
---------- beanstalkd ------------

COMMIT: fb0a46602de1d0884ea8c33d9e0896b464ccf4c6
COMMIT: c3f8d66d9c5c7874694a875eb333b643cb5f3445
COMMIT: 20da1aee72e278789d1635924d08f834a3ed77f1
COMMIT: d7e12a41b8213b4bd038711bcf1843fdff8607ac
COMMIT: b3ae0929726632a0269fb3c913d4810408371af5
COMMIT: 25fc25cb1c24c9306f91d96145a5f93f7c6578d5
COMMIT: 59b5cfccf5fc423bb35e53de5735c05208944527
COMMIT: 3213587f10382d2901d8fcd21c387e47860e438f
COMMIT: e10fc6742e55fa54957aaf14363402e5171bb313
COMMIT: 2baee8f125dab1dc2fe7cca4c336c307dfdc643f
COMMIT: 76adfd9e4cab98a1db75ebeac677ca5f14913851
COMMIT: f0dbd26f507c7433bf27ab7c6b26e42d3448b349
COMMIT: 1d191ba26b20f402cc8e8ee3a7f7b0de9f1ff78c
COMMIT: 1c7a2b3dcf4f27a8c2f702a792733dd612d2e7b9
COMMIT: 543096056ae238d3c7bc3725ede301e037e4a6e9
COMMIT: d5ffd665048ef7e3fbac4fff002073e487820dea
COMMIT: 84b12d2ca19be39150d8ad484f2e5a0145f2918e
COMMIT: f43a5470128a1f94210dace36244503148c1f42f
COMMIT: c2ee0f36f070b5fa1fbf31f81617a384d167c742
COMMIT: 5ccc4aa7fefd99076b2469e6aa3b789fc4306335
COMMIT: 52dac7b5be249aca6e17931a74a1d4c4667a9e73
COMMIT: eb2c0e332f8f7d76fbcc3a671998737d35699f77
COMMIT: e284badf079db519db8fdd2e86959f2ee17240be
COMMIT: 03d92a0912ec747e8d8091c4bb955de90f6100b4
COMMIT: ecfed3d4d5dc3eb73c50f83e19bd013a4d9a5cf7
COMMIT: da3754d0db2002570df65ec0c1ede7b5360f8be9
COMMIT: d67d2b3f686ce3fdbc70f4684552fe1ee48f43bf
COMMIT: 3150ad32141d27bcdcff04cfc77d316716d70416
COMMIT: 7f559c8b2dfb34f43ce0459f9f67ee9b0a6e5488
COMMIT: 97bc859826891aea3fdb46d4b381400fc889d434
COMMIT: 28b63be83b24f4ed628a5a63336840df83ef2423
COMMIT: 5f9105f73172aff84c149703362088aa82e35228
COMMIT: 4926f06161450ad97c0a361c7894de4584d9016f
COMMIT: cfdf505ad5867d3f409bcd05c163e522c6a8ca01
COMMIT: 0e782706d81dadb1f874cb7e29934f8b55532b88
COMMIT: 2e1aa4991cc49c68502aba30dc11cf97ec6ac603
COMMIT: faec7a5e000745f05a0acae577115867cefcdb11
COMMIT: 2f99e8c13d453232bceb57eeb98e41e84087653a
COMMIT: f34790f4be661ce17489c5996805dd31fee883d0
COMMIT: a9d436718ad9d8c60a250dd0269feac5f1287a52
COMMIT: 236c669c250e34d7dea5ef9aedc01da68ebdb90a
COMMIT: 7261f57b0f29cd59e68d234375494aa4f2f98b2b
COMMIT: ecb403ee8c6ec8b29f9f9ab1b37d1dbbc7b2f546
COMMIT: 3934b8c8bad1722ccd5299db76172da611b2651c
COMMIT: 7abe44a88d007a1cd87784ca365f327c13738e6c
COMMIT: 398d95681c53fdf3bb69576b697b160f6af16b3b
COMMIT: 9020d9a4d4916658896512880b7ac7824305203a
COMMIT: c620eb5bc5494bbc7cef33ea804ab4ae65a75d14
COMMIT: 677295de0b99b5e6d6c7d143bd39c015d74cb21d
COMMIT: 1b3f6030f7cec238dfeecb7e42636d9517b4bb64
COMMIT: 557e4d8510f0bc453f9caed4d12ba3f10b0a0c2c
COMMIT: 3ff79f810fa4c5202c4287b5da9d6ab9066dc7b5
COMMIT: 8ce5d36a226cd2c83226df569124acf653b3aa4d
COMMIT: a39c701a3d8fae9c4d1dfc3111a2f90f649c8416
COMMIT: d15e72611ad00a2cac87e089ccb09c95e5285379
COMMIT: f760e2d377aaa80a0b6bb0115359c9e7db1e3189
COMMIT: eb02dc2c651623a1a6972a77a5550357abd0f1d9
COMMIT: b13ae77a310dc68970d2cead2821ca09cc09435f
COMMIT: 02be80b1c21e6f083594caa848ef91f2483d4fea
COMMIT: 4b45d37ab21919f4c9f1286346284a36a5a7e695
COMMIT: 80da772efeeaabb12893f52a93da74ca9e69206d
COMMIT: f9797ffe4e5947bd36c0b34496a6a6b3d228b12e
COMMIT: 5a83d866fb7e95b89a7ae08ebb2c8708fe740d23
COMMIT: ba0a8e0caef49837ac0d7f5191cd00cc97e43520
COMMIT: 4309cd8e5c1815d9be84999bb373f075f49cf520
COMMIT: 1d91cdd8e8e85e54a0f898f2a9e0204589914a6d
COMMIT: fce971b15e51c1994b477748b9059bcc74c0da48
COMMIT: 6ece520ddcb390ee816fdea9a89515306111206b
COMMIT: d8cadfc4d72e35691775ae162314961501351458
COMMIT: 3bce62a5225f145633351baf5f7333fec4e8cc7b
COMMIT: 0db458bbdb1cc48fdfb6e424022cfcff971f09a5
