Utility to process github logs
Going to process projects/top_C/cocos2d-x/all_log_nomerge_function.txt 
---------- cocos2d-x ------------

COMMIT: e764f1f1850ef831c3e6313d901b0c74841a5f37
COMMIT: 9588369a8d5616552744f2db7a10846e9ace861f
COMMIT: 0d0091e6235d97ffd431fe3ca9a0ff02de0ee7bc
COMMIT: 78b6164f218cd82f22df65fecc1d2a864a180c8b
COMMIT: 797277bd2300a7bc2f3d070ae3597b51051628ea
COMMIT: dd4657759dfd16ffcca1ede419ee8f48f576c0cd
COMMIT: 4abe35eddbff28b9ea72c61d15ea999525cb1628
COMMIT: ddef53c0c2f48d1dde28c26904297dc9b989bcfa
COMMIT: ca5c901989947df60241899f9b9de0fd46636a9b
COMMIT: 88f8bec1cfa800696f5fe82e166ea3faf4ba8cc4
COMMIT: 5e7866f3aa018e667e7520442de024baa1c5b6ad
COMMIT: 2bd1de91c3a33f780ab51236991b8da3f026e8dd
COMMIT: b57fa1acbdcc679794ef98adb66cc19f9df90412
COMMIT: 9d8f901d28893ffe44589dbb688966de869781bf
COMMIT: 5be1a0e732ce58f7a7acc8cb9a00a057fe955e48
COMMIT: a978137621fae29e9411c5d3c38d0b8e2559b5cc
COMMIT: 22f9ea6f3d8d4b4deedd5fecc34f180dd327666c
COMMIT: 4144b11461a82cbaf0a4d513c182fc5b23686051
COMMIT: d40ba1752fa875fddbb8edf93106b6e596ed5651
COMMIT: 91b342ec5a909336f2cbbcdc6e0c559dac217b79
COMMIT: 99815e665b863c4f570112852dfc3e98fe21397f
COMMIT: b3867f092ad5a4c59a70159e0ee295fd41773cf2
COMMIT: 0bc8a6bffaa5cdd358fde26fff5ed817781d2246
COMMIT: fe527e80626a17187833a1a77d3ab40bdfc344d3
COMMIT: 876530ac85a63d3ed4731e578d1b58fa278d2842
COMMIT: 1667c3c0dffa1ec8150a39d143854603e200ab17
COMMIT: f04be1a2f7b07ca54a8b865fb6459dce8b192351
COMMIT: 50a375f2a7f85a0c884aadb57aedbe766fc2ad4d
COMMIT: 482a254f3410201b39191c7d141ab5963b76b421
COMMIT: 19f3c6475eaf28a20fb8ba41ee0b560ab329eab9
COMMIT: 77ac1184cb2086686b2dee65777e76dfdf8a12d4
COMMIT: 386f9495498616a5c47d9efb7fa4fb7a74a94bd3
COMMIT: 9e41346bf1b012ece80abc29ed9ca9b571bda892
COMMIT: 65836dd19ca0d5305969c687245d3682357efc3d
COMMIT: f7280d56270986a8ff9cd40dfb0da2ed6e3f6fbc
COMMIT: bfa9c25c698cb29e18af9197027cb174e5bfeb37
COMMIT: a6dafc6eed87f96d4342454384d8d2d62c4ce4a5
COMMIT: f26b4de306eb47611e7ce08484224a0944043364
COMMIT: 33735391d42a441c951ff1e0885665c574119321
COMMIT: b5218d57ed8592cff9aed80fbd1bf10793b9fd97
COMMIT: a1310054d256188dcb33bbc17445396bf81ed3b7
COMMIT: e31e845363885940f2f7590d0a5e801448a32d99
COMMIT: a13834e66575225cc77e721fb4a05154f4911f9b
COMMIT: 5adf423a240082d938b062d77fa8e1aafd5f261d
COMMIT: f70c1ecd4cd0b9777016f887893736d88d5ef162
COMMIT: 8586aefe552303f8e4237e00a744359527aeb8b3
COMMIT: 4153d45c76581bcef79f556e7ec66a542cb6b3d3
COMMIT: 140e86ddb9f897d8923789b24614e13173c3cfd9
COMMIT: fb956cd2fdb7c81110ec1925a32bc8b1a8631a14
COMMIT: f74b267948698afedac321aba6291c690247fcb2
COMMIT: a4927a4dc940624f3afeff0ced1c92867240d3da
COMMIT: 7801a55cf64ac3a77c85569ba553cc1809272e43
COMMIT: 31320e86836cb0237c329dc98cc72b13db45c61f
COMMIT: b6578da93f0076ec6ae9cf87698a7c4eebee1f49
COMMIT: 203c70bb9e833d38730deea9c2a62c8807cd9bf9
COMMIT: b4832ee577b5154fe1bd1958f40929d0d5096b1c
COMMIT: b20fb5a76dbc9b6bd6bb8c4138ad917c342ab8ce
COMMIT: 819e7671ba06e21d5b6998616d1fcd2bfb664823
COMMIT: 83082e6d13a0caedb89711256d9d471057431001
COMMIT: 398a36848277b8516c190f1e5315bbf84201191f
