Utility to process github logs
Going to process projects/top_C++/fr_public/all_log_nomerge_function.txt 
---------- fr_public ------------

COMMIT: 8a5faeca528d65923df5d36fe1dc47cfd0dfc9c6
COMMIT: b4adf02370c89ec08bfb2260c488454e8ffd2b41
COMMIT: 7cbb0196b7035ab4580fb2a6168a20c81d58f4c5
COMMIT: 39e00a3400c7cfb1784ff31fc3545cade6aea46c
COMMIT: 80bbe3ce39a8bd5497902972b720eb38072f4182
COMMIT: e211a0f3846acc46bba52cfd74ec93681ab6d56b
COMMIT: 46160a62577a3264733219125aac2502254e950f
COMMIT: 751a1ccbb54a2e644497bb37e8081570cbe457de
COMMIT: 4d826f6ecac54ae4c6f431c03bcff4eb7a6fa824
COMMIT: a789908154125e34aec906901b2bc447a1e0eb9c
COMMIT: f58a44b506f47437a1eafcb385cbd591563b2c87
COMMIT: e800603eff996de51e6bec1289e6b2d8277398c8
COMMIT: 7c870504040b1eb4e2d94aca26ae179cb3d304ad
COMMIT: 100be5ce0d2f515789de1a612865db3e5e286c77
COMMIT: 0716cafccd24b9d260fcd1b6751d45e956a4c398
COMMIT: 92ab4c95b3dfbe9238293fae6ef054cd74a787f3
COMMIT: 0c50642d188328c08a2b6ac934333d40ecc34f17
COMMIT: 8fcafa2fb1f473056e650539a07f6cb816c20e0b
COMMIT: c51ed77b99d42962777bb1dbc1dcdf340bf0853c
COMMIT: b4cb15d14cf04979acd5bfd563175f28f9d8b3f4
COMMIT: 1aa95b88d80e4dcee42f304504194eded9056520
COMMIT: 88ba91eb699288f2fae9057d5eba939d632b6375
COMMIT: 1898e0c7b5daf41378e56f87288f7bedf52ad111
COMMIT: 7f611092ab99363377689e6d083251f5a0c4a2aa
COMMIT: 74a4ddc944d708e97a51e6215b5e072c0275f182
COMMIT: ce87ef334a85774051ae4dd8054015f6bf3a0906
COMMIT: 8b5cf361c6c6e54d83f5c1a9737909a615c76270
COMMIT: e861da180af480f57557dd15bbabbce12e499caf
COMMIT: 98a43597c0504e939654d55af3ab0708401b134b
COMMIT: 60513614641911c3b0a992732509cb1ecb54954d
COMMIT: d3b27ce958d9a824eb35f8acc3573424d644f650
COMMIT: b80b7d13a4f804e892d7a871398e7c6a524b450e
COMMIT: cab3fad089bf98a803b4a5ed791adbdb0187ee7c
COMMIT: ea9b06d4fce7c5ff55d986f3f2970f4afbb1e891
COMMIT: 058568724c70445a1dbdbe503e80d08a5346b032
COMMIT: c60e3565bdb7cd680c07e57aee26ee9c19bd2cb1
COMMIT: 62427d09af32f1f4406b880297bef2096c5335cf
COMMIT: f1b95d0fcd0aeafd83c172795dc3f7eb1d989249
COMMIT: 4e540f694822336ed5d5d2848a50716edb653506
COMMIT: 56e11919cb5ac188ee4ed292821c6a4ed94037df
COMMIT: 65396f10a9fa305ddbb41a1dbfb5f7d50dc8c619
COMMIT: ff0b9731d625d2e47e3136b878726eb87f419bc5
COMMIT: e66cf246ad16b8aea4e233f37aa58cdd9bfe61b9
COMMIT: f826bb0cdb717ab6dfe65748c3696347b6378a14
COMMIT: 248042f5695055e5b301b64bdc1531d7e911bb0d
COMMIT: 8b5c49c25f4518693c9ee72b9bcbdce38eb1b5eb
COMMIT: 72ca11c5a3d7f07c35dab565bdd85043207fab58
COMMIT: 3843137b6b6c13e6383e37a281de9e898ac1cb7f
COMMIT: 084a84ae029609d0c4c91991681fe6be38a03a96
COMMIT: e650e4be1b4e5a916751164217855dba74093ba3
COMMIT: 012cbdd6f03988324cb2c78be1e0512fbe25b982
COMMIT: c779f40aed550e54ddc9f502bb87d379836fcab9
COMMIT: 8b9e48228d0087c1f158da59b66d6bc90f47d18c
COMMIT: 70bdfcb66bd145bcf534af568655b2be0be17709
COMMIT: 0370087a917eaef9f0c25ce046a97fe7aeb61aff
COMMIT: 02e06f4467d51b289db293b65dc1fff6d9d1223a
COMMIT: 62943a145e90cec0d5a77120e69ea4122cc8cd3a
COMMIT: afffdddd2a4d46914cb7f64860fe016be357fe14
COMMIT: 033c73612ce279e2b93b10d61909aca1d598a57e
COMMIT: 0f3ed24f7556668e74a6d045a5714ef5120d8fa5
COMMIT: 33482bedfef6761e177c5d9a4d8cd41e92e0652f
COMMIT: fedb6b83587501a26cbb17d0d1ab177c72e969cd
COMMIT: 476d0cf7b10a811c4e67ae26c0262c9dd94920e3
COMMIT: 7a056a77795cae7e687552008de8dbff3b47c8fa
COMMIT: 49549db3f918b93b91803f381c4d1781ec699016
COMMIT: a30e873f5ba4b14b30a07bb78d4e9023a0554fc4
COMMIT: 732e4ba2c3a28ca8faa5f0c1b76bba8cbde2d324
COMMIT: 8475476f7a1aac881b3e34330113049c52e7d2f6
COMMIT: 5b6e6dd8e77f2dd75c53ac479161ec697e347fb1
COMMIT: 59c92cef8382f6572adc26ae99b97b8cb4dc06d1
COMMIT: e8d4cf77734fdbd62fa71e1919d843033ceb1784
COMMIT: d14c598b888f067dd76d930e6b28439751cf42d1
COMMIT: 92ae5c6d7d7af14119e8b478f55bd443a91c573e
COMMIT: dd9c2cf39f45cfa620a67e6d52f24ff21561e147
COMMIT: ca53da9b9fc6f7fd8744576ceac9865f51890b18
COMMIT: f0af7fb3eeeeba2c9539ef71c5228b5d9bfc38ce
COMMIT: 5a298b0f3f02afd58b0b7624a8b2c58a395fbbe7
COMMIT: a3322cc5caf89af40ff263e6f1d7d6ef7b12df78
COMMIT: 46ee922196531b14f9822f7f7094f531cd8a38d0
COMMIT: ee8ef977aa61c253c32fe7f4691a30e46c815c16
COMMIT: a389981151d7cacb99d4bf3b80121bfe48f9a079
COMMIT: cc065720d630a2e8efd768e3663c0d1c6f2aaed0
COMMIT: 7b4ceec68bd6fa56210a8c1b3ff29a313ecb1c3b
COMMIT: f9d119044abc06bbe1a9dc7071184509db096938
COMMIT: 5f06118442c104230e1207569a951f12822124b8
COMMIT: 89acbce83523b904d53b5588d06fc357480aa52a
COMMIT: f8a1eb296e664c46837e4988876e3a1c947a54f1
COMMIT: ee350f126c2f08d416a40da8bab5a7d48c3f8df9
COMMIT: 07dbac4cbe6f8777b96e1f211bf4baff12a2708e
COMMIT: ef9443723b85ae2f8699fca49b6bc45ddc9fc7fd
COMMIT: 9da7dd9802c12b742cf2a6d3fdd6eff985e7b1aa
COMMIT: a5b568cdc1b157b31f68b15010d2f5111491bddb
COMMIT: 9e7b7dd48cdcc38277f1bf1fcea8f1c31e96a523
COMMIT: 72c031e791ae3348e0dc2f56c19ce446dcb96b5a
COMMIT: 96a366dbbe0bef22528919a9d537b4091a402bda
COMMIT: e75bd40993b95d4115983bd34116a021cda2491c
COMMIT: 817cbb3470ae52fb579b6a1dc6d9563f50abb12b
COMMIT: 064dbe986cfca4abac1bdc42f0a0bab8efca507d
COMMIT: 0453e556c541162f621fbacec6e7bd81ce0340bc
COMMIT: 3b0566315dd5a7d336c4ad5149b482ec21c2535e
COMMIT: e9f64b7b297fa2b4622db870291f24de6e0bb8cc
COMMIT: 8cb3f77bf15fc44a83d2005e061f749da635e0ca
COMMIT: b881968ac70b9610193415fc60419e335b9d0d55
COMMIT: 3e48bf1cc84ec6371d0016b9d802065ef5c7ab04
COMMIT: ebfb5f94fc81b64f03d3222a79c852eb1043466e
COMMIT: b86cafcd071a6cede39020167ce2926f5edb6569
COMMIT: abedb9677c8a16bcf4c9b3c5d9c1a696c0b4edd1
COMMIT: e0ef2b647e7b1cf8b74da1fcbdcc2f2584c571e9
