Utility to process github logs
Going to process projects/top_C/libgdx/all_log_nomerge_function.txt 
---------- libgdx ------------

COMMIT: ab1857b04c23cf4ece379fa6747967cc99cab60a
COMMIT: 1e1922fbb9e98903ebe60ffeb38808da42961dc7
COMMIT: ee028fde568c3606331f9d95dfbaa6b7fd09e181
COMMIT: c1d2b98abad55de2317adec99d503551f7124b94
COMMIT: da30acc5b3521d0fda760ba765ae76a951bd41d7
COMMIT: ac96e4034c7ff87372fdc57c660fca9f4c343dff
COMMIT: c7d6d26b3f31774a060751b5e91a25bcb6752531
COMMIT: 9311b1e6a40d5825ba96faff58ad8bf24f2f61d2
COMMIT: c354cc5908146ebabdc7c8696fb210f9ad923bd0
COMMIT: b8c50b985f438e7e93f5c839dd1b6d749e607d33
COMMIT: 04358d8d591781633924e6c6321d02fba6295460
COMMIT: c5ea51bca3267fe5bb0fc7681060aee1beecb485
COMMIT: a332d8c90c8ad1740507371ec40bef8ad7332051
COMMIT: fe728e9b3d5288870cfc7262351dbf6ec34a0f44
COMMIT: 539477e84666a87ed355aa3ccda833971d1f3d55
COMMIT: 38ada7840bebd430ce9745cf5589d216f2118024
COMMIT: d306404cff3a22dbcafd92415c7f72aae1a23cc2
COMMIT: 900a9b5b2e6e4811d410e0e69bbd4bba1eaa0d11
COMMIT: fc3020520170c12d4be6ea1a59c93792f9d6fbcd
COMMIT: fc88f97a867453252889e56e7eaa2ad782b8d0ed
COMMIT: f3a54693ef8929d889539b932ad4a794325b2d89
COMMIT: 36477aee59c778cb6be415654abf3c0fa84ddfe9
COMMIT: 94559d6b1d382028ad8599271a1fa91c04599651
COMMIT: 08faa6fd55b9a4dbe757812f157fba7ea89dd60f
COMMIT: eb04e71d71eff80342862cab4dccb1bc21a5f54c
COMMIT: 1a7561dbc5430e9cc987d3c6bf81113ac121f3cd
COMMIT: 03146434c619ae0e41702b70ce440e07245dcd8e
COMMIT: 66edbb1c8f8791b65a6b7f324951a845518b3cf6
COMMIT: 5bf1590770078f8ed5ebc60c7266b4dc6a4f91ad
COMMIT: c6e3ecec91e6b40a9f816aa4f0a4481d37139113
COMMIT: 55c190300cc0c631587320026896f49ac540317f
COMMIT: 0848219adf20ce3599755144d1b86181b038cc50
COMMIT: b6bd8914c029d536d35545b50eb128a27cc23bc3
COMMIT: 5f670d558b3f09c088f5bd3d5335b8e31248ae2c
COMMIT: 155fd6972e7084862ccdba9b12894538685416ff
COMMIT: dc6efd7966ba2f710fe68e70d01d080f5b6d1ac3
COMMIT: 35e9f041079b8d75ea7b49e9a649f3bbb95633b5
COMMIT: 5ea86e812e810be7d2644072c42c10c3caea9f4f
COMMIT: ddd4c63ad4216990d07021385ba0505da6d4b9db
COMMIT: bafb2cab0ae2bc95dda8afef743578d4d86051e7
COMMIT: a4008501496b9f47d45f04d206b76529436623e7
COMMIT: 2ba608901b33ce6c1effb9b098ab1c2159e98e2d
COMMIT: ed36af0642ba0e0ff4c344f13885404f39c8d2de
COMMIT: 940fa1a22d4a63da86558cf4cd0614c35c25a039
COMMIT: ea23703713d5d00c0a0839ef0c6b74427d56cf01
COMMIT: 21a52775c0620bd3b606289817f116c7f679a6b9
COMMIT: b85f14ae5728757086d921f9fe080da74a10c75e
COMMIT: a33db3dea301aa5a1d3778a7c119d6cf7dddbdcf
COMMIT: 591316a437a56840fc61c40482439bc77683a99a
COMMIT: 88c5338f70dfd997da58047979351da5369539e0
COMMIT: c1c3fc2fa442a0d76f13692bb6ed6ca6da743399
COMMIT: 5906c5ca54cc16dbda11530dc687be3f763ba6bf
COMMIT: 306e70bfb735db2ada566587c34bec0435697922
COMMIT: 3a083426bb5ca21310b3b2303b983c62ab584a78
COMMIT: 3d6f9e429b2f848fc0e82cc338f7d02828ca745e
COMMIT: 73d06d3db9053040662d43aeef9bfc98171568c5
COMMIT: eab2e9656cd96c1ce59d5f60d4ee3e6c456f7c40
COMMIT: b1da60b3aa847240315dcec3b9ef66a6b18514c5
COMMIT: d2b936566dba68d09972848c190bd1d7b2b2a14f
COMMIT: 4ccd3dcaad5d1717eaf4dc860ea948e1bc450c60
COMMIT: 361749388d83a206abf25fc92cacbea7b9532010
COMMIT: 40e6c30804488180302edd9cb9f05d7f29ae17dd
COMMIT: abb038d9ccbd9a02fc0a1d414cb4efe762b47161
COMMIT: 710b414e15d3b4a9a329c3ed6f2cdffdd9ae0408
COMMIT: 39f2d859beee7d87156784903841b1bddc3fdb32
COMMIT: 79ca6c037fd05a60ef84ff29c20984925a787120
COMMIT: 2e7744bb8e6277a79773b2d3c4efdb59f3d41761
COMMIT: 1fe1269a4f75752ecf1bcfd77d721ac35e79f174
COMMIT: 708972a8300dff9cc776cf21d213fd495a84f621
COMMIT: 7ee70d94a029b6331c2fd5d05e5ef20672d1b68a
COMMIT: 75bd5d25e1b996ebb9871dcac7ee5e1e2d792db3
COMMIT: 1d996507189ddf4e500090edf485f4c4e5720cc7
COMMIT: 34025195a96dbbec094f4ed9fdc0735b574f00c9
COMMIT: 89e261a8466b17dc4ca922a8c0e9cdc39217023a
COMMIT: c302b0f0562436c5e18eb1e2238b98f138b2f773
COMMIT: 6c1f65cd77fae163a32a1379839fb461a2a6d0b6
COMMIT: 638c80dc92e7e4675a93e1c28c80fed221360ca4
COMMIT: 01fcac1db6ecdbe6df1f167ccbf4430f9047f6b2
COMMIT: 75bf1a58ef09caea99f683f73f34c974903de5e6
COMMIT: d492533c3ed9447560770a7482d32c2bfbae5df7
COMMIT: 5bf1e73fc508454585dae7461f4f2ec297df0dad
COMMIT: 5d0cc2da9df500c8280030c557a2f4e2566c96c1
COMMIT: 98cbd321041e572d27753bac8164670176223a31
COMMIT: 2244c507fcbb7b032889ef5826762ce431af1905
COMMIT: a21352f6cdd5abfb33b577d0d668c3a2ddcde0ff
COMMIT: 9ace7d83c0187636661d1daefd83aa03fb639073
COMMIT: 4b6b9ed434ec95d405fc0a7cccd9bda7f6ac33d0
COMMIT: 2c8cf62d2fbca839484eafd9176c8f71ace8957d
COMMIT: 5ff67d73c84f2cb1a18aa9ab9515a0eb55044c9a
COMMIT: c3f267f9344d7b99d42a2c67cc9289fd7f47b368
COMMIT: 392aae3e0aa40cea14176f0338d94a1c3ff8e252
COMMIT: 8dd998080f14ce2bb10ac92738b039d581373e3f
COMMIT: a33818a7fa227345785e61b14f560e5c6a6a5e00
COMMIT: f0feb72a5904f6e8b82bdd62a6aa87aefb636c19
COMMIT: 4adfc8a8416de4589886fbee106e310ba3e1814f
COMMIT: 224b0a377a2df7bb56b925330f81bc42399e0b6e
COMMIT: 3dd7b537da89e842d28dab99b1df6144be87a68b
COMMIT: 2b26ab628e3f40527845ca8fd60e3f04305402b0
COMMIT: e2e5e1cdcee6fc7e0021dc315d74e13bd6381a43
COMMIT: dc4b33cc05bab2a71df54cd6d1ac8693489a9ef6
COMMIT: 2b0a488203f145e0da8a7d3025ae1d76e2f74137
COMMIT: 4a30b958637ce15a635c4c70994c7724bdae9e1c
COMMIT: ad2362f5f37c81440b9fed0874c94cf310a312a8
COMMIT: e289ce5a3000ec163911b0dde0a70823d35f03d8
COMMIT: 1cd8345879a1dcfc788b1e1e0969e3e1403ea674
COMMIT: 99acf33c351f4835ddafdba82a80ddf603ada7fa
COMMIT: 7272f1b8bcb62465d80d7375472e1e43a256bc79
COMMIT: fb29cae5b4a48ae196ae01d2cd7e6ffbe662004c
COMMIT: 8c1eb89354495c8efffe82f0e21ce339c881aa83
COMMIT: b0fe0707ad2e7a10e17c1b4f6e039a9a77e6559b
COMMIT: e378ec4e171e863644e0fd39902171c92e323d27
COMMIT: f0567286cce86fffe0a028256c8069a12be1815e
COMMIT: 2c5759ddc9dd0e4de265c3356cd4f2e7737f16bc
COMMIT: a716acb1d1e78940c01a0c2288db8942217edcbb
