Utility to process github logs
Going to process projects/top_C++/node-webkit/all_log_nomerge_function.txt 
---------- node-webkit ------------

COMMIT: caedb6a2bec6b339fc86d0f229807aa752b11818
COMMIT: 9e81217bd3e207a346ad07221a475eaeb640b724
COMMIT: 14bc8807b06ae8b529ab5d99a942abcfd670e59a
COMMIT: 946ee50b6f4a2691906843a296af8b40d3abaf4c
COMMIT: a77b0854957651e3a5df36a10d10f9c3b9c2d195
COMMIT: e62c9f39b50fa68e2a2f92615b5c3796bb91e22e
COMMIT: 154b760c2464f07401fd49f324ddc60c2d13fdd7
COMMIT: f19f7139e0d182fb3724089431faeb918a5aa527
COMMIT: 8e1bade2c5a6eb39952072f4cdea64b411dbbb80
COMMIT: da7a71d65aa32e757d3ae0ab0d69f8c5a944a32d
COMMIT: f30e9ba13fc71bca6032bf70ab7acea1e434a6f0
COMMIT: 00dd9ed16bbc4bbee50f781b52f613790d9610bf
COMMIT: 92c35d3632696a0558be7fff52076c94970ee787
COMMIT: c734670e1cdea96ff4961d21d4979635d40eb0ee
COMMIT: 1b342506cb32330709d9fb0897c796dfd28d8898
COMMIT: 9e0824a1ca1aa3482f9b357e141ef8e2fa42d3ed
COMMIT: f6c7f7975baca0c53d06896be6267df1059b302c
COMMIT: e6c63510ff658b0e8d10538b8c3827fc65d200ac
COMMIT: 261f07c23eb7322a5116f215fa525e4f17afbf7e
COMMIT: 0ca1642e294f627a0ceb925858c5c6c59b70f84b
COMMIT: df852184ccea2cfbd381fbd9b31d9fdaae1920a2
COMMIT: a0ed820d561355c9595c59d32f6d34b89ec4bd9e
COMMIT: c5eda607b6d1216e42abf1e0abb14c71ff35a79c
COMMIT: fbb9040258ac59478478263a3d9fb3f29e55d149
COMMIT: c5ef962b46b5af0b21a9b85d9c30ea6bdcbba908
COMMIT: 37585d545f07e5640981a9c8278fbcca3b2d85f3
COMMIT: 4e9ac8e32624e84822813932d12560c35e886348
COMMIT: c91494c712c5c905ba35ec411dbdc0a4f1998a6d
COMMIT: 100ff1c1e6fbe65b42b20e80fc53e6438923a6cc
COMMIT: 7a4ca7ed3a59ccfbdd189a622f39f82d17bd9821
COMMIT: e46bf5922587592f7096d46aa7001226a7b1f534
COMMIT: 0990b160f198235320a6a9b8d5199feaceb85065
COMMIT: be36dfe5b71d5d83950c86fe04fbdb9244f9877a
COMMIT: 26e9b7179ca74c96754005533f43f5c4f70321bf
COMMIT: 531dc98725462475837c95b5e3d538b3fff5c46b
COMMIT: 7b4442ccc8761cee28323a002bb951b56c766830
COMMIT: 26772260e1cc61affad746e5c22655939ddb4bc6
COMMIT: e308c2d4d584c709014416d3f87f7a554c8ce4c1
COMMIT: e0d5ce6cb7d9bad405151cd83e6d7b18dcf6949b
COMMIT: 3f3500bf5bb9e55745f4015cb922b128a55826ff
COMMIT: f6031d6dc4a4169b2116b58523134c73ec7bc623
COMMIT: 4e2b83d250c780b81ede6b2adb5154f851fd5d2b
COMMIT: d97d245ef300262de12d72431d970503b73d7aba
COMMIT: ca98da6f7ed938e349056c6029f8622baad0f7db
COMMIT: a396fbfb8a65452587c0b8b4a82667f0950e69c8
COMMIT: 9b40f46747909f6362c3b5ce5d505b16f1da19b2
COMMIT: c9804c4b918b350e84a40822eb7960de193b37fe
COMMIT: 7cb2453762f56256f6d03b32be442b9e16062968
COMMIT: e46d09dfe895e9e6e65f99bc7e66efc1f354a455
COMMIT: e31985d3569f7349f1935d9f6c43a9594bcbc1d1
COMMIT: 961e750062e56b5b338dd2d00ff8e52a14882147
COMMIT: b672cabb6aa0b13ebed155ef8d3109c56e9db4be
COMMIT: 72f5808648f3dd6df1d47ae8e4e39bae20fec310
COMMIT: 20fbe5fc3e412fdde7af924ea68050f88d2ab22e
COMMIT: 34d7d5023a9bcc0eeb3e77fd3504fdb00916bb96
COMMIT: 0ce45f5750b2a810a70b59e88115546c608edb0d
COMMIT: e5dd6d0f7aac6b94fd634e8f0b2988b28063a698
COMMIT: a263c353fa7a57e81831dcaeddb55cd54e7e1713
COMMIT: c40fd838faab8959e99ee053e6bd1d6c04c38b5d
COMMIT: 36bc51c61477252e4a9280b8af4798d474362f50
COMMIT: be8f60013122c2c6457474bb96d342a347623ddc
COMMIT: 9b65cd1170450ac278b91fec346d8a1b3f4eee5f
COMMIT: 6e4e1671b947d8dd2f17dfbf2854048e8b9e165f
COMMIT: 12f7418770d1cfca41e81c7b54401315be182086
COMMIT: 98c625b19c6249ff62ae0a159e4ca6308e786b2f
COMMIT: a2a3ff749f0feeea04f58e98b1ebca21cf122e65
COMMIT: 64681f1cf6b4d27f51bc5648a8b6bba8dae933df
COMMIT: c592708a084520ee5aeb9226d4f5654e573e7c32
COMMIT: 6d84c434b027b9d95a8bd53c239d801ae8e0a2e8
COMMIT: 5180767c697f050860a3a09248dc17aa7aa22cd4
COMMIT: e0f7137e7c1a370956300b629876365bc7c616e1
COMMIT: 09b9e731aa6074dfece1cd4873be0a444130520e
COMMIT: 55d902d3f1465cc9a7a6d706d13f70e109f7ade2
COMMIT: 0d887468392417713d5c9f6ca79d0aecf41c7065
COMMIT: bf647bad5a51e8d0475fc692ebc17a18f5838da4
COMMIT: aab60c21f8ae9e5a81e5304a66557b7368a43fa7
COMMIT: ccbf73023ddaca27879789fd45d3bed2d20d7aeb
COMMIT: 570b1edb91726909b8211b002d01ae19f46f4f15
COMMIT: 3a40699b1e205bd99f4e0e6bdd1d6bf274f9f81a
COMMIT: f71203976b557bbdf19c1e93c9b504925510f5ec
COMMIT: 4315a197f1f439707edaa1e6e7dcbcef11b7807e
COMMIT: 4effdaf6a7487a12698edac162a7ef4859c11b54
COMMIT: 0b3fda020606bfd5d6390db086fa558c9571c9da
COMMIT: 92ec44c78bb272a3487c116e7de5de769c501760
COMMIT: 831a6af8543cd3a9e3cd4e9710664f30feba7e14
COMMIT: f0d71dc210da9e4184dc5ef12baf0d26a2aeebcd
COMMIT: 07e557621ed43f92abfe5bcb67a71948adfb0d6b
COMMIT: 22e4cf6c0979392150408b8a5d4da65f30215344
COMMIT: 85589775e8eca521caec8b70e81b277b55b564a2
COMMIT: cb83de3d9f4bf4824e742092986ffe00bf6dc88e
COMMIT: 23430c26be715f48817c0ac0c5674cfc3d949e78
COMMIT: e1975eca70c67cb808a58b39da4b4f8fbc795cb4
COMMIT: 0b2dabc2ef8434672d14854e36f140fbe6519438
COMMIT: 9134c4756adb26e6408956fa8860a1cb92e5fc27
COMMIT: a3c2eb0beafbbfb1be3c7ba536038f7eb5b1b3f6
COMMIT: 60d2ecbfd246680a1ab2584f003ccf5a1ee465d7
COMMIT: c740fd60fcfde041d5a7dd800a7e73e3b8428f11
COMMIT: 3d2da3f751503ec60144cba2b438a71678a67fd4
COMMIT: 2872f33edb5f3c5d45c591863f4f5b56b3fe55b8
COMMIT: effc4d94c7ae29df7024b595071acd621803fb01
COMMIT: e920798d8d474e3eb8a9de2ec75371ba62f01d59
COMMIT: eae620fe2c28d744e1f2818546c720bd57991fa5
COMMIT: e837e004dad86e52ef230e0c7e0243e02ce7b864
COMMIT: e7ff868f60722ce27e22e19f95e123bdccd2c891
COMMIT: 7628a18de636c8ac207ece62cc8c2a62f4fc44d9
COMMIT: ec801e3782f3d29962c42aa5a5cae268db53005c
COMMIT: 324ebf18736186bf95d5f4b345b8050537cbbaab
COMMIT: e8d9223399736089ea914f21b3cd93a9770b2f15
COMMIT: d89780e4dd273b96c58e6c146eef4c3c0d70f194
COMMIT: 724ed4182578e6416975026e9081bea6ffef09c2
COMMIT: ad30a9bcf814b15a13be9f844599f1499b5c6955
COMMIT: c3aea0d872bc1cc651712d9235ffe7906f83be5a
COMMIT: 5ebe532277ff0a529d1caf598d46ebd8b507042d
COMMIT: 193e8e670d974a394c5ac51c22f6387f69ca32da
COMMIT: 2c545d8995fa8060c5472a66739c0296504deedc
COMMIT: aa8da8a62c054dc3320bdd6297fce4f421db7d12
COMMIT: dffad3922ea519d86a2dd53b84f0f7337a5a1a2f
COMMIT: ee296e4c1f0b62b5e0935925adf424f29d65376f
COMMIT: a40be6253a5aa9bb8f2ea82e4fb80e3a855b741b
COMMIT: f9428297a9521bb817151ec194483ce4f1724baa
COMMIT: b1a2cae31c587000218943b94503c6ea604a474b
COMMIT: 4cedbd2f5219ba18f7f3519c48c7b7531122c0bc
COMMIT: 140972bb41a43374b66cd5025645b8db08cea85d
COMMIT: 9b4645e890a671336a85668b3e902a2425058cee
COMMIT: 29b67e826b52fac153e04548ef59e5431d61b4ea
COMMIT: bf0a6f22c09648d70fb7d57faed9c75ee28cc196
COMMIT: 56e0242cd085f1feaa48b88b9a089effe11438cc
COMMIT: 44b26b1a9f65d61a33d774d197a849f3b08a02a2
COMMIT: 7585bf434229c67813f6f93ef7c583edf16dda67
COMMIT: e3767a2d765ce4309da25485892f8a8b02719e96
COMMIT: 153ccd8997ad3de018f0036b0b82013b28d000e1
COMMIT: fe6c14373edaac5416821cb16c1f691e0bb9a28c
COMMIT: 6ddf9db563fc484d0770992a202765182203b128
COMMIT: f7e0b6dc50346d336beb736db6dff1dd76a62616
COMMIT: 6d4254d3c0942390989fd759fe94ac8dda12c558
COMMIT: 1c0ff87e1d93577fa5a40abc87563aee363af442
COMMIT: 883af3641fe984cf0ceb9ad41d2297e53715d460
COMMIT: 920fc1b5e54f9b7fa44332728c7ff6f5e4169ac5
COMMIT: 6289cfab7db5d7edad1b3e4e40a160ed19023419
COMMIT: 30b336e331243e80399de41e11e3020bfac1b46d
COMMIT: c6489287530252fa55ed00ba597fc082fc47b468
COMMIT: c388fa5ca196be1207d22a7581def667ad7c1247
COMMIT: c1a25cafa5844be786c6650b0b90ffe12c858f0b
COMMIT: 81cfec63bd94abc2dce33af454317e8cd580a3ea
COMMIT: 86573f91ef05efd0881d28f14f459d4fb7c185d9
COMMIT: 7e29171eceea7db0c4ba1930932b69f7807f0e15
COMMIT: 41a41b42f0d9ca84d7cd8f6341c896972ab5d1c7
COMMIT: 526f2f8a7e3f5926e9d5dc6d601de684a80a23c4
COMMIT: 022ac6022b1849eaf5ae96e99d64b48664a9d6a1
COMMIT: c3ca61b1dbcc802d217b7decfa66c8429ed24f8b
COMMIT: f84e721097d5d71b2bedb0cc1903243d2de054d5
COMMIT: d1dee800e65947fc0610943279a3976ff8c6962c
COMMIT: 4ab12b7cded8c5759698a3bbc9fd072015cdb0c3
COMMIT: 1fd5919e5b60bbfdaf43759b20b8a138867fded8
COMMIT: 90817c0bb3ba833d43d9de0cd321c899bf4a8dde
COMMIT: ac54a982f175774b9e98ec3d31a603fa90bbb90b
COMMIT: 42382d22e93c0c5662e0d56ff8daa49ea0bd1e18
COMMIT: 4a08e1015f875d65c18b089c0d41bb626fa6232f
COMMIT: e6908144218758c88a7f918e2d80344d756e32ab
COMMIT: 9b75ea40e9cbbadd0a283a176fe0acc1e49ed046
COMMIT: 0eebc7c11f3fd656d5a0591bd5fb1a0648b7142c
COMMIT: 2a27c1f52d9584cdea4b26f248a59bfb888cbd6b
COMMIT: 222a43a4b6661df036329a14c44d4d066c9924cd
COMMIT: 8cb53f3b013aa0b3201b96eeeb97acc8cdfe5cb9
COMMIT: 01e3b03da4e8e27c0a0725976efbb3a40cc35ecf
COMMIT: 9a78a03dce9903bdbe3b06cea6e77793ea7bd2be
COMMIT: 5e94e1f22b6260b836aea96e019bf508ce347b19
COMMIT: 11443800e774d92e74e7bc8c7ccdc8ed30fb8821
COMMIT: e4a86aeb74cb8541efe9368ac8a5ca3fd3fe4446
COMMIT: f61a0064c8f9700e8eb0b66bb4160719d1ffe35e
COMMIT: 62c52b3d98f9e24af495962bad71e9d11fe8b3ea
COMMIT: bbe36c88f54fb97df9ff0ca96daf30690d6f2c17
COMMIT: b445a6e9d1b79d73920b1a7e0b5bd010c3a313e5
COMMIT: 18f2a1f0f1be74dac96f47336e223d58099294d2
COMMIT: 309579662c948906bed5397507905331c9450170
COMMIT: 646275d3acf6f2a5bb475993da6fc385679c1424
COMMIT: ed22df540b7b6a78574c66a612965f6b945ded66
COMMIT: 328ee9b0cca0eb57ddf9ce515d58ae24d60c60e5
COMMIT: 518e9249fca9ab27dff65ea193d85e4d722e870b
COMMIT: 6a17131dd606517da7c1cefb057ba493e3bfac80
COMMIT: d3d5136ade4e750e7686e97c781097616fc07bd8
COMMIT: 0338b93f629dfb75f497fc480baf033375320c4a
COMMIT: a3a537bb354f709172e71e7c985d4ac6b8ee1d48
COMMIT: d4d7f14efd1e6bbb527ed45a51a1e0d5cc07249b
COMMIT: ff50e2553401d71d08f3b6c7d019f7e28ef7576a
COMMIT: c1bb17eb47125af81061ccc842a91ecccc6530b1
COMMIT: 194462dffcf399f6d797d2885ed731020e0c7c76
COMMIT: e5630a3b542643dd404e7841c4078a97682de3e5
COMMIT: 18b574a44b131b20e459cbb37269035f76cbeab1
COMMIT: 924298d833e9f857d201ea8c09251584b1a9e2eb
COMMIT: 5511f62aa9c7f630a80f7c7ddf62fdf9634ec381
COMMIT: 97812bfe4e5844b125f342f29d831d44598e5837
COMMIT: 266aee3ae1c7916f896fee8652ca768122f85689
COMMIT: 95c6554cd33909d66b2565d092ae807e4db33945
COMMIT: 0ea2185df08167959fb562d19cc6551eaee6c561
COMMIT: d56cc8ff7b93722587ec65494e142008043f8905
COMMIT: ba5e65c65c6b763204337f1c3c3fd5839cc4683d
COMMIT: 14b2e22e8efe18e04816a46591e3c91fd95806f3
COMMIT: 546af85deac63cf2db768869eefae7c2650c9a38
COMMIT: ddb61d69ecf6be599e448d045d896e6db089556d
COMMIT: eea05f43fc647992961ceaaf7a061087d3a4f578
COMMIT: d48e0795b8f69c24e6fdc1e0a9772daf1c2e8001
COMMIT: 6e48dd5250d4ddeb2d42fd9dcdf11f8a476adadb
COMMIT: eddc2e4849cfe2988330cb4d33d27d7a702324bf
COMMIT: 7015ce3c1a4bfe61ff44965ac5158c79477a3c2b
COMMIT: be5b8da389673db3f20f0cad56f84b8030a8d131
COMMIT: 078ddf70912f002b32b3c69e264cf58b0f462e1a
COMMIT: 47be6bbadcc62ff6909e2b44de52a9d6842a6c16
COMMIT: 03f17be55e7bc64bd2fa9a9ffdf24ce0d0db8c6b
COMMIT: 0c68d70f10324ce1b499ffb7f72e9fb4e8b9c84e
COMMIT: 12419ebb30a9854a97feabc045ca03fd27b04d50
COMMIT: ab6ff3cb4635a1e822d765d606cbf8c74316e8f0
COMMIT: 40486d8a774619776011c143d4b6765cf633f9ca
COMMIT: d9a1fe2f8d10281d2c8c3b2a87b98f6315090fbf
COMMIT: 99e94314ba6bf13828cddea3fc7986c299fc7337
COMMIT: 2ccd9f82691d8286dc7a68934245415688ba1953
COMMIT: 1213d7360d5eec9bacbe74cfea15daa507848553
COMMIT: caced490f1933c95069c5d2a6a8a553b8fdbbaec
COMMIT: 20f2ad70b65273cddbbdb8cf78950f1cb540208d
COMMIT: e243822e384e4cfe0144f09f4d17e49689b6b977
COMMIT: 2380387a07c981e0eca9c4544a9f37f40fe97994
COMMIT: c4c7113b569f4ab800c2c140e01102ef20179d73
COMMIT: d3b9084fa9fd19cfede1de100f571a023ebaf212
COMMIT: a3e2ef0b9972d4329c409915800d5c61c06a7722
COMMIT: f9b6f3f84ac6e1c462d7a0843128fe612aba22c7
