Utility to process github logs
Going to process projects/top_C/numpy/all_log_nomerge_function.txt 
---------- numpy ------------

COMMIT: 592e404b7406c0d3c9db568f737e9c96b3736f3a
COMMIT: 39b7b08c781d707eedbd7f7dfe2e7c8af614c16d
COMMIT: 81788b45e383d2f6494cf3daadbd7fb6bfc550b1
COMMIT: 505b0f4c11acb1ade1e91f1360ffa6a33cbd0b51
COMMIT: f6861923209df65d9c4253368061072eda67ea77
COMMIT: 5b8ec8915ef5e2fa58824411be4ea1e17736d08a
COMMIT: 75e4353d16f7bf591bbdc7a8024f902d6cf1846f
COMMIT: b26aef66a998b8a6877ee261e4d97ec8f815dad2
COMMIT: 3c1a13dea6a7e189675977ad65ea230ce4816061
COMMIT: 8c4303acdbdd24d5ba035de3ae0a636c348544dc
COMMIT: 0b5cecacc4d6ee2cfb395ac4b955cd52883a77e8
COMMIT: 7f0900f0f08f9218428ce2d0dd0908af0f9b8cc9
COMMIT: 524d6f9672eb737b40b4981bc9977ad71a3f19df
COMMIT: 0aa32608246881339871231398cc0dc037cef79a
COMMIT: c65a7518537a6ad53146c6479dd10de28311460e
COMMIT: 6bf0e419dc79ea6815557c57b7e9bb504ba20543
COMMIT: a0643f542642537cb4f4b3fa057fbbecaf799b29
COMMIT: 1e3ab40493fadb5daa67c8a55c5360fd934cca7b
COMMIT: 4b1f508a57549d8031a23160b40c7f87f47892ed
COMMIT: 8f172ddbb90357e80bafa2cd7df4b307ce15600b
COMMIT: c5ad05813f36bbb65248d85bf1bacb2d0d60c368
COMMIT: e2cd6fa869cec6d92062fb687d8e6952c1202017
COMMIT: c79651d865ca53940f5ec0dc4e9bcbc33c01918b
COMMIT: 1b6193b977c1a411a497ccab4ddf741e3b4849c1
COMMIT: 721675e19dd3f0c798f9582f69ea153484917e34
COMMIT: 8c18581110925ebe9e2b3530d4d5fc4afefbc8b0
COMMIT: 403d61d1448eb8ee6a2ddc81865d9ebaf1ef73df
COMMIT: 4969b1ac2ceb4576fd34991abb990fb9856dd613
COMMIT: 1acd14c3ff6d781801fab7b550fc9d295325f7da
COMMIT: a49ad1523c87766134aa98e04772d988040516fb
COMMIT: 7debda6fc2e66bc7fc74ade526a795cc381473a8
COMMIT: c7f121abb24e19c34246c8ad834dfdd5bd5ce8b2
COMMIT: 8925950666b6da64f57ca629c4448cb6800706dc
COMMIT: 2a13af9d21eb4f7f83580e44586d692cdaa10868
COMMIT: 45bbce70a1fd6800d471e5afcc176732aaba0b60
COMMIT: ba29c7b224618b069644e747d6e9236f88accad4
COMMIT: cf3077696dd76d88e77173546a0d969eda3a7aa0
COMMIT: fbd381726dde9849060db9a5ccffb6d43194f384
COMMIT: 3cc68c97c8a3d3d22389b6b01020534a84b946cd
COMMIT: 5d0f474de2a6ac953b6a26abb54515640db64bbf
COMMIT: 4f28ca357d2cc15a01b270ad3c5781febe864af9
