Utility to process github logs
Going to process projects/top_C/openFrameworks/all_log_nomerge_function.txt 
---------- openFrameworks ------------

COMMIT: 06c4490115da42035a875c00c394923c6dcc60bf
COMMIT: 62df2dd0cac1765e9bb7543e5ec7f0ff5ca0e79a
COMMIT: 391bddef356a2331892a3e2e8cfeabfd616bf3f0
COMMIT: 8f1b54bef64c776e36c52655c957872a6b774fad
COMMIT: 89a8d7ede2b1431ef1d8417b4c8ff5c40f26ceae
COMMIT: 41dcf5f951710dfa3ad08c792336a4c71faf31eb
COMMIT: 330963295d3dba7c7fc6de5b8e375bba97fffa3b
COMMIT: 01a06c0fe382988a888beeaa91f2654ba3dcf8ac
COMMIT: b711da9e5bf203b8a08fe0be8c78c8d308129e3b
COMMIT: 7a6086e2913313dd3e7c4dbed757b06fa3f314b8
COMMIT: c7f6d1073bcaba2000baeeb37dbe73acd266ab4c
COMMIT: a7885bd3804ac8ea8e1918170ebf57e2aa9021f2
COMMIT: c4de474831006f433fb2377a797fdbdbb8f58328
COMMIT: a4f3dfca7061f2cd4cde750b5d26e4d723d2f0cd
COMMIT: f13937a89ba71a26116cff0524f0e48767adc29f
COMMIT: 6723d485db4fa55198c0ab1d636d2f39f93af93d
COMMIT: 982ab5d655d1c9182f8484b0ea143a59308bda62
COMMIT: 5d3a2ae5dc7eaa3af108a0b7c91b3aeb19c18e58
COMMIT: db2d0e1f9e85808fb7ae4ff2a0641e596ab0c2b7
COMMIT: 22e76a5c9117bdc9a907f29a26ebe558b788f95f
COMMIT: 2aa450fff9bf485e1a7d11c11b363ada70c39294
COMMIT: 8ffc6d718b4a05f2a16e743ce6a4ffc12f662ebb
COMMIT: c2f6745213afb213903f3251286d570ec2abd4e8
COMMIT: bda37e68e856ac4d6c604dce546a369bd99c4cf3
COMMIT: 38f4f3b9b0cc98d7e95cb9934a02797236c06794
COMMIT: ede1202d343be785812b69a86043465d380250fe
COMMIT: e589c2e46d6134e56672d4d1ff228bee8951fdb0
COMMIT: fd3f5b71e031e50b05092dc1e145531c45849904
COMMIT: 5f75f650d544c3e4fd4a59d61eaee9e179bddedc
COMMIT: 0bc3b833865a4d08d15cab9b81fc998ef67977e6
COMMIT: f7b5352d79fdafe4c561a4fa45ce357046fc5027
COMMIT: 96ed07599148ba5a6204814f8f134e8c94bc0131
COMMIT: 4f4ec70c7355e38a90cd9be725a666ed20a68497
COMMIT: c62a4f1b5cfb16b52d9d137c13ccc307f637a511
COMMIT: 04f6b27c7efa9f093c42e99203d276c17e7be95e
COMMIT: 951aca44665d980604c52d41a6c47ebf78cfa107
COMMIT: ac56ab228cdb6bdeb2568869a9f16b2c5a4018be
COMMIT: 8cba966e697019569123a631e1fb345f19d931df
COMMIT: 26aac1e1105fc85e4e4d20a5b804f7de53add4af
COMMIT: 6e98839476e6e0412e0d519ef6966e40d142c886
COMMIT: 975c28a1bdaf8cbcd577ef22dd89b9a3b64eebed
COMMIT: 150e1972ab9c1f1ba0a8b420db70341990c2e6fe
COMMIT: d5133edc1d780e04fb7ff5fd32c80610f76bf15f
COMMIT: b1568feffd87fbd78b383488ac62c7a9753b4575
COMMIT: ebbe3b0f377284c604d8d7167da2f63417bcf235
COMMIT: a984c7cdb6aee611a58c4dd728e997152c4338a9
COMMIT: 1f386d2a75843d8cf5b82cd3825802635cf0308c
COMMIT: ed9df7bec1a6b641b2a544de9d90368f1c8acd78
COMMIT: f38c0d9a1655f082f421895a3089be010ace84fb
COMMIT: a6ea86544e8566933e0003ef8d6d2aa78cd9171f
COMMIT: 0eddc477a035f6e97ec7209ea17bb3383f4f76da
COMMIT: 6ce34e29dbe1fbf429b9b0ee346ac7dc95eb7dc5
COMMIT: bf22ad90540ce7303109c53c370f2c1ca0b78b9b
