Utility to process github logs
Going to process projects/top_C++/openh264/all_log_nomerge_function.txt 
---------- openh264 ------------

COMMIT: c51975acdf73ad6f6c7cb708056f865c6f79e99a
COMMIT: 99aaf3198cdb03bd4d3ff2ac7c74e52772f4a7cc
COMMIT: fe965a2444c92a2063f491f1381892425484b4a2
COMMIT: ee4dafaa7071ae57aa9720bd8f80a4d3742bd571
COMMIT: 3cb417f14a381609252d5c7b9d01ac877b982383
COMMIT: daee3dcf22cdeb96ec6ec463a86530813e4ea024
COMMIT: 71d0a7f71f2ef4a6e6c4ce158540c9c9e595c42c
COMMIT: 89d5ad249f3f8660cd028e04471d7802b78a2e4b
COMMIT: 4fb4c9536febc97aa53b65d78e2a9163ff0ff09a
COMMIT: dea37ce439043633afee3284c1895096f1903e0b
COMMIT: 78e0ec613021861b1434b05eba0f4191a30de42d
COMMIT: 3052b7ac6428aaf47dbc28fe81a2dc68852d1f8c
COMMIT: 764793d74bfcbf4a3cfc85e050be5f5c3a13c597
COMMIT: ca51ee0f442a12113630faa2514be609ca6730aa
COMMIT: 51efa57a3d29f0e513bd7714a4bff9b755ae383d
COMMIT: 723044837ab8702c2163334653652c5dea2df41e
COMMIT: 43767cddb6c56c42c651d4b7934f47c8c574ad04
COMMIT: 8796e40f8923567301001398b9b66c34edebbb02
COMMIT: c2b79fa51d75e4827e60fc930fe1bfc31f52e6b2
COMMIT: 2ff38e9175704518cc5ea3cd7d37063760041089
COMMIT: 84b441d4e44eb3beb5ee1fd32d82b8e06142c1af
COMMIT: 682b0b73352b9fc6633bc74f33dea2d4fed39053
COMMIT: f2d391980e3d4d0a4659548e93b0e8579fb65b99
COMMIT: 8ca76ec342c532dd2ce6cae68a853a9c87cbc221
COMMIT: ebbcb67fb77c722cab056a0ce5f0b416646a859b
COMMIT: 26c1ce2d054866e738513ec818d63ad38036e773
COMMIT: c618b44b9ef58ec309bed88ff2714418ffd5da6f
COMMIT: c134aa753adb89a26691d85ce306a8c17e7c7f77
COMMIT: b052a9580e080e94cd13110b42fd3120783ce113
COMMIT: 0298b3f5807a132e837fc86f65a8f6839d647b00
COMMIT: a9d0d90ed267fd7688de6d763abbe209d9881106
COMMIT: ece17ff1b4e6a6aacd10498da03ee2034dffcde8
COMMIT: c3cfce52234cff956e541896886c25d8e810ccba
COMMIT: 87eabf272116253804c3e50a71ddb78d7ab6b499
COMMIT: 92237fa32901fe9eb92fea22c58fd68f2aff420b
COMMIT: ccaf242b800e0f3c0871870d0bb4e53e350a81ed
COMMIT: 1239bb24ba511d94a58cfaadb1a80f88d7072d86
COMMIT: 9442a7a0b58976bcb5cf0cec7c4751cf0b9bf9b2
COMMIT: 8b7af7cbefc1f1de89eba3d9e7c366709a172f9c
COMMIT: 585b61626c801437cefc832f09cc637e19732ed1
COMMIT: d15afbbee0b13b12b9fe9f8e29245feb28ba1e0f
COMMIT: 7a3ef3a00349683048e52000e7ef898752df136d
COMMIT: e757dce0e4a8abc788accbcd30eb4e441d98f878
COMMIT: a484681202a96f592d3ee43cae96c557c38e77b5
COMMIT: 85869921d3164f0924e3fa78e544402e088d9fd3
COMMIT: b90eca78cd36baf56349c0c543e79aaef234a5b7
COMMIT: df994fa3f5840a48b8b651573c2394b671655ce8
COMMIT: 61027613dde6aa370919d69319b2165332803eb3
COMMIT: b05468b5c1b7373536a7222651b7c0e586fc2802
COMMIT: 31453e3072781a67674c4605b3ef9c8d74fe1d98
COMMIT: 0ca7ff49e2661bfcfd6bf50937c969c275d7472d
COMMIT: 5c7fe3127740a29ecf66dd9a66cd5e6d85509af6
COMMIT: d152c254856453f4ca7c731035c668e6fc79b5a6
COMMIT: 7a80c21526add871d4558c0d89a35870e871a576
COMMIT: dd913ef878294f338895cf11ed3c231b636823b3
COMMIT: 239e22d088b2a23ba48629a42e84605a5efeb8b8
COMMIT: 2af19fa6549d132bf12a59c92fbf2ac1ef8dfa79
COMMIT: 9ac4c8208e819c29024654e13ff91765b5cb4161
COMMIT: b7fb9414c5b0d2afa23db76b58edff4b6a9e804e
COMMIT: 6d5ef0ba2dc56ce9afec9d9f77663cef89d52d22
COMMIT: 38ffbf7df48df92592410fe904e372f27b857dab
COMMIT: 00168404b70d7e3656fcf50a695df1faf86bbf29
COMMIT: 61b82d28c40db5de9ba0780daec24c82bf8d34dc
COMMIT: f21aaa1cd433bb855a70909275224f0e86e589c6
COMMIT: 65d6826470e984b550ffdec4e4b25e29c8778bc1
COMMIT: 8d34c68ad68e14202bfe1d11e6e94c8c0604a4b7
COMMIT: 613a7a0ead137ec8b9998beaa7d8aea5b65bc5bc
COMMIT: 2bd89983cd4efaa76a93bd01aef42aa1a2582918
COMMIT: a9c6a9d76030e2e24272592620410b09851c2113
COMMIT: 02354832cf8a9c62af63377a9601718243940732
COMMIT: ec99a3bcc534fbb154334132c12269be051c389c
COMMIT: f324c354b1904bd88a257dba7cd7c3a4128d903a
COMMIT: ecd61026889ee645e40e6ca1a8c9c2d06b035f6b
COMMIT: 31a9fb69136f26399b26658e6649e5c20a0c9e66
COMMIT: c24c967c65e652bdbdc39800f1f1e7261ff067f7
COMMIT: e9916c7592efd5dde18895fd35b28016ea3d0127
COMMIT: 2b33c7499391e160aa0d1d7fe2b1115d7a5d1bd1
COMMIT: f39f58e9db6d95bd60b4960762dded9c7c8d0221
COMMIT: 15c71312d25084da4d36cd8c243de55f0cc9b0b5
COMMIT: f619c16840d5781908f9bddf1b0d237a0fbe2e27
COMMIT: f092b2a4785546691cc83930c03701063f1fc0c0
COMMIT: 7b52c402dbbf6e137ce3d5bca47ca586cffc9753
COMMIT: 1922b533f6ac39c76277f063319549e007fb6960
COMMIT: 8b679cad735e15f91445d9c3488ef493393387a6
COMMIT: 6a31bc3785d1b0b1f5fb97a4e63322dd3d275ceb
COMMIT: 2a9035a571685ba2c71ae76756d76db3b6152973
COMMIT: cf3845779f0e6a8b7806d40d62443514e36c63c1
COMMIT: 60a6dceb7d2832ec5ca1c250dd719f9f7cc308d9
COMMIT: 4d913096a150691cea0a4d5305d30bb31a534494
COMMIT: 20f28cd2f293f3b3fdfc494766f24987a4a8eb0e
COMMIT: 8abe601d33598f17b5ac829596594ba7cc631084
COMMIT: b60d91f78e9013beee5ebf6ff850c01005ca9f4a
COMMIT: 2673f0a5795dd8cbbf93442c98483e8744c93df9
COMMIT: 4c352d13f3b22bb53d32424fb93897dc2f03ecb5
COMMIT: 91b186ddc8208a5402db64ca92431fa5e603c9ce
COMMIT: bd8ad20e8ad10d36ffc143edaf9585a0d53747b0
COMMIT: 88f5d1dde7bff070a35b29e1831bab12f67c03d7
COMMIT: 403cc57dc6422467f2a12b4ea6a0d811ab1816fa
COMMIT: e7fb44c4511030d3ee0be705d8d559b7857b0ced
COMMIT: cce966fbbabef1dd538a76b66dfcda300af2ec43
COMMIT: 18a595468f9aab0477806155f792cf68b5bef86e
COMMIT: 09fcc935758cab27e3959dc54ee6eac03da41860
COMMIT: cd3ebfa3d4b434a5abb1b6c21c34d802470638b4
COMMIT: b4a9e99823eb2e931d3bef78590d01a20a070f1e
COMMIT: 17e5ea95c0afb6258188d90525d447ebfe2dc084
COMMIT: ae9c5e2516294c4654e9c787d1d59e0376aafbc9
COMMIT: ed1140b846a06c4ccee89e884fc8e58e8271b2e1
COMMIT: c109f4dc8d8d8e6a46d0eb508ea556fd36f5d121
COMMIT: fd7cd76b604476ecc6e534178cffd24dce8848d5
COMMIT: a93e4647df05bbab506c23628f1cc111fa31c53f
COMMIT: 82cd357bae7f0696a37a0db344edbf411a97ef80
COMMIT: 0ef69e55e21bfe918a2d6f02584a41690285a0df
COMMIT: 2c44dbae5c6930e75c65ecf826927d2494d0b3e5
COMMIT: 06b8e1abb7b13367ef6ad6f385197b94dfe647f9
COMMIT: 9ef0c74fdd58b076377bf20aef0a79ee5f8a271e
COMMIT: 94d1976a4e233bc0f74998482d9660704c7a0047
COMMIT: 153dd0d3f505b68cd15c3ca8fdad132237da44c4
COMMIT: 63926a3d10ca35db6ecaa35a6271abc43acbe06f
COMMIT: 303bf77e42f84e3744c6ceac7b7f3164d289999c
COMMIT: d28970d625e62a581aa2be6640a71772c2196bea
COMMIT: afbb499c779fd9fa7a43d187a3e1dc74c553d7c3
COMMIT: e8cdbd2ea7cd882b6d99a0198905bfe569246c86
COMMIT: c301db696ea1aac0ce1cffe0628933fd02d54761
COMMIT: 861f54887d5f00bd075e199005cc2c82a4187785
COMMIT: 7208ed14b137582c16dc6231ecc1f12f7f99d71c
COMMIT: 15723e1204a8d5f725a88ad1a17668ecbabb9b91
COMMIT: f9080ac0900807a398be120a026b0d78e24d6ada
COMMIT: 7d6d86b63a66950b08fe518ddfc4466b63d73975
COMMIT: 5683393f384c52d5c909ac6a540f7b2fbc7cca30
COMMIT: 943981abc4f0e891386c293b843d037d8bdebf15
COMMIT: 431bcee31012f711843e45a0e26ea5c0b9b83edb
COMMIT: 0a2cd1e59a45570feb8aab38df72f431db44c846
COMMIT: bc1b28b5dda881b6cdd17dd31bc035c5b9590cbd
COMMIT: 6c1aa2943196eab4c4b11815d69ac978484bad64
COMMIT: 0a8a4f228464d666fa2a46c9e9f36cc3057f0dce
COMMIT: d3b2be5ec22ad2c6fb618421b80e8b4c8751dd9d
COMMIT: 2211324e2b3aefbfbd9f27afb5017de6e11f6fe5
COMMIT: 173413301253eff8f9a5bbb6baaca43422b32ef2
COMMIT: e4a278620bf4c80cdb8e1cef53e14b139363911a
COMMIT: 4f237b51ef971873f292a967c7b29f39b3e22149
COMMIT: 713beb7df75931f314b1cc4be1d661c391107d4e
COMMIT: a3063531c48fda919afd609d4f94017fed7cf39b
COMMIT: ee515e8b358cf88d29a2f4a4f3a1125b3b707f3c
COMMIT: 4394d22b705a121d4331385e6e0e4ed03e854f06
COMMIT: 2356eb1ff6126916cca782ebd68ac7f478ab901e
COMMIT: 078d96bef7e899d1d494376e545ab61e76ffb9a7
COMMIT: 869870e670f1934258edfd59c39041bc2e46e380
COMMIT: 3c085aec794307fa4bdc78637a5cdfc1e3cdf398
COMMIT: 76b0f8c17a38ddafefad58857ac9bcde0d3b3624
COMMIT: 02365371e878b2134e0a098ed69e73d201862426
COMMIT: 9ea66030719c2f0911b05cbcc79f9af89548eea8
COMMIT: 30d7352d03ab9a5b07d7c94ad823020a27947459
COMMIT: a4f09f4d76cb47f17de886e7d318dd6cb6112801
COMMIT: 605f2fb858f0db8c808a547fea97bb315f463b5d
COMMIT: f03edd79c240f40d46cef16f0229883dcb5755f6
COMMIT: 9a0663620a6dd1cb655b44015a3a1c4da3ccd2fc
COMMIT: 1a7d0ab831fa3560c3acb7fe750bea39bb77b2f1
COMMIT: 909a508749be81afb8c2198f981123bb0243730e
COMMIT: 151dfe04d5c3e55ea972b6baaf5afa95c4a19d84
COMMIT: 9a9fc4c4893b8fac3cea3bec3ff9207055a7060d
COMMIT: 1127aa77613e73f863649b95e3ab41a754558336
COMMIT: 8b6bf0499f1300f735cc13fddd287f9c92477636
COMMIT: bb21b62cbddca3598dadb68344677f557c22ea89
COMMIT: 1cf68cad1393ff918894e4da76954850e80dc9e2
COMMIT: 095bb83e77a988dae45115e3348fc4a1c4440151
COMMIT: b6e28495dde19724b6c4854d5013ce72cd6b5b66
COMMIT: 853d2922dbaaa98f65d25f76206fc41e53bcc2cf
COMMIT: 7354a8cbaec15e9baf8051706a83118c5ee345b7
COMMIT: 5752888c81d39bb3a907ca7c9d45f676f2347f07
COMMIT: e5c2f333be6eb645846a52dfadba5ba633cf10bc
COMMIT: 23b20fb14cd7eb99fcefa9709517457fb3b5b3e1
COMMIT: 279e14b34e7cb752eb82c0720512e08555a53b88
COMMIT: 10e2f90b7ea1b08b164e4185d864d536f7a245ff
COMMIT: ca97f78ae828617e877951b9f1341ac67974ce52
COMMIT: 8084a2c797d71dfd918a6bef35bbcb973901169b
COMMIT: 4df4c1d757766365cbc8c41f267d147f5c4b6d36
COMMIT: 49af2b592db59d09c58cd880ece236950581369e
COMMIT: cf3e7b5deca3198737f837fd9a1d28702e52f1da
COMMIT: 478af8f00c88aa9e482b95e672344227c162e241
COMMIT: 8ecb8b420085d128c1481f550297ea4604ab128a
COMMIT: 420a81afe411e3bf471550160c439ef84d4da22b
COMMIT: 9fc9acfd14450eaa45d7d471ee1c379628d85ea7
COMMIT: 7d9fc352350a2342cb7627b9f8d6947f55d4874f
COMMIT: d557578be323707cf3eaf68662d6ff3b790bf5d1
COMMIT: e64e2bb620be87a4933b14d16460b61e32c89177
COMMIT: faf62464a898be554421e9fccab75275a9c3360f
COMMIT: 4ca8ad2612aa7f5227c360cc2025d3873b12295a
COMMIT: deccd1eadb44b8304f64637e61d4d5ba39237522
COMMIT: e2fb48d404f83495e6b9e563ff063886ceee08c4
COMMIT: 8d5ec6759d49ed8e87e0e5f603e95732f23435b9
COMMIT: f13624316e642cd7311b202b878d32684621eeac
