Utility to process github logs
Going to process projects/top_C++/pdf2htmlEX/all_log_nomerge_function.txt 
---------- pdf2htmlEX ------------

COMMIT: 9d97ed735622d86ff285b09ea8411753c1f98965
COMMIT: 66231996fdedafc395e938e4f0625ea5358f2ac6
COMMIT: 5a66ac5a55804965c2848e8c7b632bf10c46ed9c
COMMIT: ebbdbef47e0933e2a560fb99791e9980b540e102
COMMIT: 0b873f62b217d20df5402875e98655b6a0567bd4
COMMIT: 568dc8e65029097cae1aef84d902f5e1c311c35b
COMMIT: 7706bd7a96b1c5a8ee07d30e17dc3df859133dff
COMMIT: d4fc82b90131470297aa67eed4aea2364933b607
COMMIT: a90ae31a8a6a832d12e16c29c75159d41320ac2d
COMMIT: 54781e0523401beaeff6b38cedf2a12426454daa
COMMIT: db10f6744a90fa6ce8da3c251ec65a1210f80fd2
COMMIT: 87bc6c06d4b3a12e2afbb34cc7da31c51f6517b0
COMMIT: 92413fdec3eda49c755919d42e0cb215b0afaa1e
COMMIT: c9201c6a1d629096ce44c6a747af7f967213fe05
COMMIT: ad6ff6179779e5ec8db60cb01aa2d3b4c275f87b
COMMIT: 6fe0262427932006ada67250b7fa73ed0fa207ec
COMMIT: ea226cf3021a2068bec7af5e729f4c84a86e036b
COMMIT: 5baa3be8789c4c5b5611541505c659dbc1f3d5a7
COMMIT: f5c2cca4f58fca63e4237727e389057a76197458
COMMIT: fdf1c367441b6f43b5f66a1e8581fab5d26b0b9a
COMMIT: 5205e7b6136bd4c61f4be577a786f21cc46107c4
COMMIT: f8404691edb7fb82e3383bb6cc7d6f8779a5a2d7
COMMIT: 5223541c1f530706b7ceb8aaa025b571d6a51d4c
COMMIT: 144ec439f0091bb820d295447afe0444e065c197
COMMIT: e230bc06a9eaeef30a9b850289f3e878896c9926
COMMIT: c7053f392b9235a48483be12a5344c7629970f64
COMMIT: 75709ac6c3ec240c3b894aef48526e76e7ec14a5
COMMIT: ffa7ead922db6db82c8b020b39e68a843a0c8c9b
COMMIT: 123b37ce22fffe819af8e58b32402c072b9d89cf
COMMIT: 5993548c1dc82ad6bfa9a665a75753ca20abeb22
COMMIT: 11ae1fbad0e7662f6d89688fde6fd85b7d50c940
COMMIT: 448b0d6dad518ead618aab51c1b41bc07cfc3187
COMMIT: d0348b3974cedc67a37ad5562aea820462323d44
COMMIT: 9bd1eb2c2aec9004a6999f6dc0738f8a162777db
COMMIT: 24b5eeb1e5d8d8b054c2f1489452607683b86795
COMMIT: 25d53ba0d1378b374bfbaab61c0acd8f7b15c27a
COMMIT: 85f04be632563f4919973e8cc5cfc7edc5670133
COMMIT: ceb4e3eac6d163ea1e127f001448f63b0dc927e8
COMMIT: 39e171a73760c5120a7bd4c30d4fd4b06974b0b1
COMMIT: 65e82028bb33e9ea20ef6c3068a68ed9a5fa01d9
COMMIT: e69e9a8be83a79ae9955bf2f8dd11245cb68f8cd
COMMIT: 4c2fcb4f0dee65616d2260dfe8759c0ea3b1986f
