Utility to process github logs
Going to process projects/top_C++/rethinkdb/all_log_nomerge_function.txt 
---------- rethinkdb ------------

COMMIT: 2bc7d0fa87fe09a0cbd49119b27b1453db53ce1e
COMMIT: fd578a018d3b7f473f21a4a1ec05bc7d3feb3e8e
COMMIT: 1af0cc8d8c6bda616c67c297660300fe87c702a1
COMMIT: 4775e6d25f39d8b2f5fafeb6b614ed632fa7c113
COMMIT: f29b61ca5fafd2cc6d9c1774a4ab9f6b619b202a
COMMIT: a544b2b7e0b41fab4b363aff5a8b436636e5ccef
COMMIT: 46c4f03ce58500008d8ed94324e3c5f7d801a3fa
COMMIT: d53d799344b2a94323267f63945005864f2c59d1
COMMIT: 712f771e675b402f7bc7f28ca3dcb4ee2c32c378
COMMIT: 5a2e9b25d108eeb2c114aa92f07d8518721b28f1
COMMIT: dee2e81459698b07e5feea00ed855f1604916e8b
COMMIT: 84c5fb836e62b45d89eb9741f333519aeb760760
COMMIT: 8fe9d5185a341ce023298048a61a02905952b5ea
COMMIT: 6afbd50c03a0293f4f25f09a4c87fa74b9faea72
COMMIT: 814fed983ae6f17e1ae603d109c3fe0825b846c9
COMMIT: de1a0a78e56d41ef43879739ca36c6fd739918ec
COMMIT: 6c0439f6520f428d5a3ec5ab575eba91076d5c1c
COMMIT: d93b7a6c9049b0902d901d732a705d6e55f639c8
COMMIT: 7d2dff70d8742e2c0a138b02ad94e9489fd1cec2
COMMIT: d9162923f80ee630d3e75f5f734ddd2760e3ebca
COMMIT: 0f4b70a158905e3cedf0dc696a07b323d570c459
COMMIT: f0e5161061d5aadc34c48325d628066c0ea04a7c
COMMIT: 79fb0e3e7ef85addccaacc64128303a77ac9861d
COMMIT: 0666f85ab6c96e32c8436aa8ce8e4fc6944e993a
COMMIT: 3889ed0b228b21ddc01e9a47f8f6031f6c5896da
COMMIT: e05639f65cf771161ab36483e2934fc8bf11241c
COMMIT: cf97eb5b056e14db387a92f0394f59d208af287b
COMMIT: d6da94645ea143e9dd4c429f1e623777bde81e98
COMMIT: db8adec71d4812e0ef057718e6cc74d0ae568a5f
COMMIT: 9f8c119743913587f8f77cdec17a5a9b23c618f1
COMMIT: 5cb80f335dc00dcb80223bf766266981980dee3b
COMMIT: 60f3cc57e5c4fc92e040376b0727fcc161f48210
COMMIT: 2a3a16f4843c2c2d741bf08eb37b7433e58a21ff
COMMIT: 87909f93dcf4bd072ecefd495c68b6b3209d1eb0
COMMIT: f0d413e6ae59621a465916650034373cec32e2bd
COMMIT: 840eb5050add0cff928d3e8d020c6c129732bb09
COMMIT: 29585da05fdd035cf136c41b3035bc6d0d2b1966
COMMIT: 376cab7c00dce37935d35c9f43fb65248525c42d
COMMIT: 01626fa09a5dc5f3e8dc01d56faba8d9117ee778
COMMIT: 3fb075a7fdfcb9559c5ea906b74138358e0492cf
COMMIT: e912240369af034470cd7c7f9902b57bba2030cf
COMMIT: 2450d90ab01514cdbe6ab43789a2ceed8248d283
COMMIT: 7c43716c09434a6597b6a25e448de982e10470dc
COMMIT: 829d31dee2c4d41069a7f59c600516068cb45a18
COMMIT: 204650ea655df7e39b11e18a344273b0dc29897f
COMMIT: 3916ac5cc8a08c883faf5b4e2dbcf1760c972105
COMMIT: e5ef7341903653fe684f6f4b2d52553434d469fd
COMMIT: 8e452da823004d6a3fd4ad6b586f822ad0129b78
COMMIT: 79f4e06dbdd9f31a2af57227a44386ddbce7b719
COMMIT: 88c958c2ab6138805774ff8768b3515c0022b7b8
COMMIT: 2a193363c0cdb94d727458ce183b8c216f6e7001
COMMIT: adb8a76371077d53912de6adadadb7ae89332a3a
COMMIT: 63c34d2c8c11ff01a7ab7f19e5a9bab9b84c4457
COMMIT: 4ddc896199d74542f25f980f3ea372e23969c33c
COMMIT: 837acb56cba773e02e47f8e5e8506e569863a467
COMMIT: 2b14fe7908565fba83c3754b63f75efc0999a8fb
COMMIT: 84e3e67ebd9a7853d85f1263ef66e20afaae35e2
COMMIT: 5789f7a6168666d0f9b3d67fa6d9cc165f4026bb
COMMIT: 3af17ccd04fb194c2fb22a6acd763b068634a7e0
COMMIT: b4e4339eaaebaf69df1a16334621a6e179081f5a
COMMIT: b8a552f06fcfc0d53525282659915381803c34f8
COMMIT: c2f1010ba679baa09abad0d33245b453c52ec630
COMMIT: d14f50c585f040b899c2373a065188a845100765
COMMIT: 632686a8e09ae50a19bb19f42703a89a34c0a078
COMMIT: 7b5878e20dc67973befe77b9ae1e7b9e9b93285e
COMMIT: 116db743151b03af3e90aa757d18e8f194d82fae
COMMIT: e9e14d0f3dfb9385efb3581dadbfab0aac436150
COMMIT: dba86ac54ff690ecd4156641aa3540e5f359b8b9
COMMIT: e0bb84daa4610182b627ab278285778397580b1f
COMMIT: 8e99026aa42c3425f6d6348e4aeaba462efda2af
COMMIT: d459f6dee4e5a2ea06f1b37ca76977bc61abb5cf
COMMIT: 8f8a240f54b8d2a49706326fb286736c37457b60
COMMIT: 75fc76de5a4351718c3e2beeec9d8f82c0e648f8
COMMIT: f54f2b0abdaa32fd6b637ec63caa6e4b1ff93bcd
COMMIT: 0c4f2993cc22ee43d8f4bd6d1698dcef49e361d1
COMMIT: 52e4a73104037d01f958a68d5916a6e9f007dcd2
COMMIT: 82f2487f83eddf9f4d81f1e60f6cc4df6dc23bb3
COMMIT: c97807f20e877a134f65dc7ea5ef1d00b37e94eb
COMMIT: 05e7170c1b8a942630a07880e4cfa71c7dc8cb6b
COMMIT: 91eddbcf95ad8b55d952640c2dde93885ef71076
COMMIT: 9ca2bacb43ed4464e02db65ea66d4fc02aab7afa
COMMIT: 4ad7aa042c0bafe247e88d5e5324ad4b1b4d8e90
COMMIT: 6cb950c2fa2e8f8b1047fdcda688de12736fafa6
COMMIT: 06064e224077e509644a77e8e2d3af3e1dd48dd1
COMMIT: b09683f13163f474ae0bfacdd5b299fbb13f5cd2
COMMIT: f96bd7fdfa1389dda772d6f4ce1449b31e936b73
COMMIT: 689ba98d78af478664512e894d27ea6159cf2f6d
COMMIT: b9853db1c5967259bdec4976121e85ef4a613448
COMMIT: 0acdfd1e9e44dd914e84c1f586765815cca17a56
COMMIT: 26a063ed94a11d3236a3d29a00fc78cf0e1fe767
COMMIT: 49ee9d52c5c2a27511a099a62b45d372b77fb82e
COMMIT: 9cfa84a1c9e6de34af257123d44f2050feafe53f
COMMIT: 90da5bf7256d4bbb8153e09afd950ee4e7ad5046
COMMIT: a7f03bd928c03a6e865db420cc1830bcb1731121
COMMIT: 92684b022c949f0ccf2106faff96ebeb15d3a704
COMMIT: a5d96e00857360c25ab4cb441f1b6e68e0b4da2b
COMMIT: 47b6aac3e97f2225eb30fd7ca964ae4dd5af2739
COMMIT: 8730798d01cb1fca3b6e29d7a217437fdef3af53
COMMIT: c138bdc90b418aae6fd80d9ea954179e8032ea25
COMMIT: ea7a51096cc371bf1aafc8459f18b9e25a05c344
COMMIT: f56644a23ff81b27e25619b412ad1a3b0e4eed83
COMMIT: 1bf68542274e5b0340b3be6e8973c9387858919e
COMMIT: 2e097c3145f327b861c5019d186e8d2668194c11
COMMIT: 769948326c8cd3ee4a4571a148b20f4e71c0c7f7
COMMIT: 448cde0f906dab7fcf6348c18902417c0ff73a12
