Utility to process github logs
Going to process projects/top_C/textmate/all_log_nomerge_function.txt 
---------- textmate ------------

COMMIT: 457969788e9119ae69a5fb1294922e694b7467cb
COMMIT: af82d6e540fe24eb674fe6a280889f634c3d088d
COMMIT: e5404fb1ea2bd369cb9ad1704d9631fffc0caa76
COMMIT: d17f5095361ae35af8c39320d0e0159c5e41d7d5
COMMIT: ec37b09faf4cd88f1908e6701e1c7cd437c33f32
COMMIT: 9a7203cae182090a88151789989de85037415975
COMMIT: 4827e354f032732ac37ce4170b1ad1b718d18337
COMMIT: 70893f4583ab21e8a56b0ab2c47f54699ae77f72
COMMIT: f7dd4c0acee74888b86a69455771c42e0ca46a84
COMMIT: 0f4397769d491c7db60a974e3b130d944b56bc60
COMMIT: 0edcddccfaab59c7146dddd7f3c2e4bc59a7fac2
COMMIT: 9ceb07e54c57d6cbe2eb097844f4381d057637f8
COMMIT: 4aff7098a5d6e503c6301d2fc49c0b137d754c19
COMMIT: 172ce9d4282e408fe60b699c432390b9f6e3f74a
COMMIT: 23509380cb1697a14c6e0eeaf3c3a26f6bd5b71e
COMMIT: 8c3177113f8f9dadfb39901767b415e0a0e5500a
COMMIT: 3c49b4fd69e095f3ef1659cc63da998fc023a1cc
COMMIT: 245450ae9fb82cf08f93c1744900480b9f6b4c91
COMMIT: 491ef65e65239863dae2e97e9ea77f7f30ffad9c
COMMIT: 6e5169a9af0acf361500096a54f0f527f59f756a
COMMIT: 100c13f3b5dd12c55b0a4f1beaf91c3865d1ef96
COMMIT: 30be46a166bb7609a6fd204693042d8b91ef5c3c
COMMIT: 0e309b10566ed3f375296e69dce9bbfcfe0360fc
COMMIT: b80b526c7014a69abea584063b4e6baa364d29c5
COMMIT: 0c9735c767251f4244ac1edf9ee49760f3cb1cd9
COMMIT: 4a825499d6f18c0562e4d26be3e75c2e16fa2814
COMMIT: c416262d820e4e220f986ba0e247f3db46c4a8db
COMMIT: 40879d5683d347dd0ba3fa31e43ab6ac29d22082
COMMIT: 0ca21f9c7551a7161a00ccf6704ffde18abd7d7f
COMMIT: b51f7f44af30c8a5e463539460dbea1992991896
COMMIT: 130d7615d2fb58008d26b775a5bd6c167a25be83
