Utility to process github logs
Going to process projects/top_C/vim.js/all_log_nomerge_function.txt 
---------- vim.js ------------

COMMIT: 14190cb9ce8bb61d8e67fb90b1e36eb7e779deac
COMMIT: 45a2c231b1b38a34760b58ec2f0e20425605b5bd
COMMIT: 1a7c4e403de9aa5294d7fd494520c6dfbde4e77c
COMMIT: 8d02fafad8c75637998010db78b78cd22a404fcd
COMMIT: 7238672015062504dea9167bf179df7a9679a78d
COMMIT: fe910545f01ed79c10e687304f0efeec00116d8f
COMMIT: 40884aee31ef501313d17417c875a6b488e1db7d
COMMIT: 531ef78a54c0ccc82323afb01e195ee4d7fc757c
COMMIT: a9efe7fc2f617a32df6d05649f71dcf236b03bf7
COMMIT: 71b9e11c3522dfa55853604aa145515ef7de336a
COMMIT: a030d26b3eea7d58c325d9f7f7ff703acf2b86da
COMMIT: d47768eaa72e9b8c4f14a3ae1af246e30915c544
COMMIT: d34f1873c2c7285662ce1429db4ac91e4aa2bdf6
COMMIT: 70dd7dc10d2b2868538ac29c7a4c64b1c129b988
COMMIT: f7da6dc84abf85319d98322fca013848181c57f8
COMMIT: be3ec6c5c50564bc19492eec1ad71d5ebfd3ef67
COMMIT: 399e4f8782eb70aabfac8f61229ad4ea70375bfb
COMMIT: 10764793a16872cd06c1ff30ec80f7209af7624a
COMMIT: 4a27d0d964e50c7cd2c3a71be27f7db257e5d4ba
COMMIT: beb0e4ff1fb425fea69ec73769858938223ed7f9
COMMIT: ced8d56a412d098dcf27fe83b592b0c28eb66817
COMMIT: e7245fa718e0a6c1ba4ac11ad6af60f21f1adfbf
COMMIT: 6313c75dd29c1468cb2768ae9ea3d54ded7c2e3b
COMMIT: 3bca6ae4ce6fe4aa4cc46d5017a2529c796dcfb0
COMMIT: 7eddc5032f6c4da38271431015ce0b8791677f12
COMMIT: f2693914bd4bcd4520e4b0e9b94389cdeae27a7e
COMMIT: 3f7e57b40f44389b4a8e5366610b5adf4eb244aa
COMMIT: f3cc21ef96aee7fa392ab3ce964c1976e95b0453
COMMIT: 4b10aa95d258f458e8a5a130d309b203d28c5aab
COMMIT: d128481c4944a54c0c890f5b297c2d4ff44139fd
COMMIT: 671232ac6eb10e2b4da7faac96517e07828fa5cd
COMMIT: 3046a783ed8071ae44f67958d4e235e42fd97839
COMMIT: 88db7daf85847f85fd9bca3ec0851afc8310f6dc
COMMIT: b4cfeabcd472c3047415f73c17b519abc9d2cda8
COMMIT: 01ee09c405316ff12d58344799ad6b4b8cb2ac47
COMMIT: e5378607759b08daf19707ee397a90a3106b87ad
COMMIT: 30e5043fe625480aec001fba571501c7e32f10c7
COMMIT: 58a33db97485618e32006f95542ee8399fecb6d2
COMMIT: 903fa739e816323a030cee4217ffebfb9a38666b
COMMIT: c316447853b7804752545e21d0929a5feeae28d5
COMMIT: b4db8909f3c05a6c374af3dcbca9e07a75aa3d15
COMMIT: 5f9428b28a35f531e6a0446b27b2021d0ef08f35
COMMIT: 071663ef9585805fa736c2b5851f1e16ae35723c
COMMIT: be4b342600f731414d847ff5ceabb6451f1e00b2
COMMIT: 624ddcb40b988a0c338923b6865457758b28199b
COMMIT: 02be5e9eac928085c9dab822a653f68d93bb8685
COMMIT: 6f319c9b3eeca810b1f2f1e34f80f62ddd5c4ea6
COMMIT: 288b146ceba20c1c69669080e85d2f8544aa0b62
COMMIT: 238dba74bf50520fd09a2d0d65f4b7e74faab2c3
COMMIT: 8601000335a06e905b2d5a64cd49a831d5b32b10
COMMIT: c343fb69d891ce83b12a2caccae7ad5a1642265e
COMMIT: 09039d7707e94e9c9e7283348222cc4395fa182d
COMMIT: 1557ac88f7af04a568dbf767dabb7e5c88739e20
COMMIT: 4b2cce4b55c0008ae3d4e6c4880dc10d82c07c9e
COMMIT: 07190871d5931ddace9b9daf47c1ad4590052cfa
COMMIT: ba6d40103fb756411495a6961979c0acd902a466
COMMIT: d12862ccd580244525b6106e12cf6c52fbe79081
COMMIT: 97aedf37da5a1e495b2e1267e19f4b0ffa848418
COMMIT: 9f2695a831a109a23f4fbecf353ac168d3ab0a5a
COMMIT: 580455274d2dcef3e0d04f4c2e5d2f908ecf42d3
Match patches:  334
MisMatch patches:  15
!! Done
Project: projects/top_C/vim.js
Start time: 2015-11-18 23:25:07.226476
End time: 2015-11-18 23:26:31.157886
Process time: 0:01:23.931410
